2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
17202814-0058471,2MASX J17202814-0058471,260.11731,-0.97968,21.2017,19.64619,10.802,0.067,0.030421193,0.030981708,0.000500347,132.0647112,2.132812262,-3,0,3,55516,1179.41346,0,0,64159.2646,1.47278E+42,0.051722222,0.027166667,0,0.033880331,0.011237587,0.012745581,260.1208511,-0.979214386,260.1208511,-0.979214386,j
17204089-0111573,2MASX J17204089-0111573,260.17044,-1.1992,21.02638,19.49217,10.582,0.061,0.028599925,0.029100391,0.000500347,123.8723598,2.129839062,-5,0,3,761.3,20.86360467,0,0,879.826503,1.77685E+40,0.036055556,0.027527778,0,0.026002545,0.006198331,0.012201116,260.1667027,-1.187585095,260.17087,-1.183417536,u
17234103-6500371,NGC 6328,260.92096,-65.01024,326.96826,-15.83241,9.279,0.025,0.014426717,0.014018831,0.000450312,59.00242809,1.895273191,3,1,0,0,0,3699,111,3153.154601,1.44474E+40,0,0,1,0.000216033,0.000216033,0,260.9301888,-65.01177315,260.9159275,-65.00822287,p
17243782-0243062,2MASX J17243782-0243062,261.15756,-2.7183,20.14489,17.8848,10.295,0.047,0.033226481,0.033869674,0.000500347,144.6835719,2.137368528,-5,0,2,2449.5,64.07027392,0,0,2830.861709,7.7994E+40,0.023416667,0.018333333,0,0.036326585,0.006931533,0.002579112,261.159703,-2.70323813,261.1513508,-2.694914382,u
17323302+7124105,MCG +12-16-046,263.13766,71.40287,102.23131,31.86741,11.589,0.07,0.059001104,0.061691581,0.000500347,268.8847636,2.180778179,98,0,4,606.9,12.20204901,0,0,701.3880267,6.67414E+40,0.049305556,0.014916667,0,0.02609172,0.001830456,0,263.1563636,71.39861215,263.1312462,71.4033754,j
17331261+7046295,CGCG 339-050,263.30234,70.77493,101.49116,31.91471,11.428,0.058,0.040801759,0.042496432,0.000500347,182.6863101,2.150922366,-4,0,3,236.7,5.316013544,0,0,273.5517316,1.20159E+40,0.064583333,0.035277778,0,0.032448964,0.000883796,0.00608293,263.2979303,70.7767494,263.2853068,70.77706336,j
17354374-0720527,2MASX J17354374-0720527,263.93222,-7.34798,17.4125,13.17911,9.461,0.046,0.02426357,0.024595673,0.000500347,104.3462529,2.122703542,-5,0,1,572.6,18.6,0,0,661.7478729,9.48311E+39,0.012,0.012,0,0.00110123,0.00110123,0,263.9327816,-7.345813643,263.9285805,-7.345812941,j
17383577+3256010,B2 1736+32,264.64905,32.9337,57.48687,28.77289,11.39,0.058,0.073317745,0.076812594,0.000500347,338.3558242,2.20400424,98,0,1,246.5,8.4,0,0,284.8774898,4.29249E+40,0.007555556,0.007555556,0,0.000892664,0.000892664,0,264.6510374,32.93474422,264.6509974,32.93891131,j
17413827+1720172,2MASX J17413827+1720172,265.40945,17.33816,41.34605,22.9948,11.658,0.067,0.060001801,0.062327031,0.000500347,271.7766237,2.181759425,98,0,2,1588.4,40.65329015,0,0,1835.697383,1.78455E+41,0.021611111,0.013472222,0,0.014737601,0.005564137,0,265.414461,17.34553036,265.4101267,17.3497264,j
17425069+1612507,UGC 10950 NED01,265.7113,16.21402,40.34681,22.29002,10.605,0.043,0.031788813,0.032689704,0.000500347,139.5214598,2.135508067,-5,0,1,660.4,19.8,0,0,763.217421,1.9554E+40,0.005277778,0.005277778,1,0.000156108,0.000156108,0.001324141,265.7228359,16.20147822,265.7056177,16.21828191,p
