level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
1135,136,NGC 638,16.706,190.697,11.4425,295.135,74.1832,136.1
1137,138,PGC 42748,16.74,190.735,3.67667,297.616,66.4606,36.0
1138,139,IC 3693,16.9,190.742,10.6819,295.615,73.4332,-9.9
1140,141,M60,16.633,190.917,11.5528,295.873,74.3179,267.9
1141,142,PGC 42884,16.55,191.05,12.9419,295.768,75.7129,-9.9
1142,143,NGC 660,15.57,191.133,11.1906,296.785,73.9798,183.2
1144,145,IC 3735,15.214,191.335,13.6928,296.58,76.4893,-9.9
1146,147,NGC 684,19.3,191.823,-2.7275,300.853,60.1275,70.3
1147,148,IC 3779,17.233,191.836,12.1664,299.061,75.0074,-9.9
1148,149,NGC 690,40.2,191.981,-1.65611,301.109,61.2032,97.9
1209,210,NGC 710,16.8,192.412,15.1656,300.848,78.0301,104.7
1217,218,AGC 221044,97.423,192.426,26.8919,244.31,89.5474,-9.9
1232,233,NGC 715,18.5,192.491,27.8225,148.048,89.2327,-9.9
1245,246,AGC 221739,97.423,192.556,26.7761,265.316,89.5559,-9.9
1247,248,AGC 221741,97.423,192.611,26.7089,275.012,89.5256,-9.9
1248,249,AGC 221057,94.333,192.725,27.8419,132.391,89.2764,-9.9
1249,250,AGC 221585,38.93,192.773,27.805,129.356,89.3189,-9.9
1253,254,NGC 753,17.61,193.092,-1.19972,303.422,61.6711,174.2
1254,255,AGC 221742,97.423,193.171,26.3658,323.063,89.1883,-9.9
1255,256,IC 831,97.423,193.184,26.4703,326.75,89.2812,-9.9
1257,258,AGC 221744,97.423,193.263,26.4767,331.95,89.2555,-9.9
1258,259,IC 832,97.423,193.496,26.4442,342.801,89.1106,175.3
1259,260,NGC 787,97.423,193.523,27.0686,27.3168,89.4064,-9.9
1260,261,NGC 789,98.875,193.579,27.0681,27.7283,89.3565,-9.9
1261,262,NGC 798,95.55,193.73,27.4128,53.3202,89.1756,169.0
1265,266,IC 3900,97.423,193.922,27.2508,40.5639,89.0469,-9.9
1269,270,AGC 221747,90.901,194.037,26.3167,355.534,88.6718,-9.9
1273,274,IC 834,97.423,194.077,26.3589,357.935,88.6677,-9.9
1277,278,NGC 821,97.423,194.121,26.9569,24.552,88.8632,169.0
1279,280,AGC 221751,97.423,194.133,27.0556,29.5544,88.8636,-9.9
1285,286,AGC 221151,97.423,194.213,26.8989,22.4696,88.7726,-9.9
1292,293,Canes_Venatici_,0.152,194.292,34.3208,113.579,82.7031,3.7
1304,305,AGC 221181,97.423,194.429,26.8525,22.1362,88.5744,-9.9
1311,312,UGC 080,97.423,194.51,26.8594,22.9493,88.5049,-9.9
1312,313,AGC 221200,97.423,194.513,26.9161,25.1145,88.5115,-9.9
1315,316,NGC 849,98.65,194.553,26.3969,7.50395,88.3204,215.0
1321,322,PGC 44433,40.1,194.578,13.3914,309.943,76.1695,122.2
1339,340,NGC 859,97.423,194.757,26.8156,22.8901,88.2798,233.0
1491,492,NGC 952,0.65,196.243,29.1222,67.4699,86.4112,228.0
