id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
486 , 5BZBJ0310+4056 , BL Lac Candidate , 47.52629 , 40.94856 , 0.137 ,  ?  , 30 ,  , 14.8 , 0.6 , 
487 , 5BZQJ0310+3814 , QSO RLoud flat radio sp. , 47.70783 , 38.24828 , 0.816 ,  , 236 , 477 , 18.4 , 0.7 , 6e-10
488 , 5BZBJ0311-7701 , BL Lac Candidate , 47.85554 , -77.02625 , 0.32 ,  , 9 ,  , 17.7 , 0.03 , 
489 , 5BZQJ0311-7651 , QSO RLoud flat radio sp. , 47.98021 , -76.86414 , 0.223 ,  , 797 ,  , 15.4 , 2.43 , 
490 , 5BZQJ0312-5541 , QSO RLoud flat radio sp. , 48.03 , -55.693 , 0.835 ,  , 288 ,  , 18 , 0.21 , 
491 , 5BZQJ0312+0133 , QSO RLoud flat radio sp. , 48.18167 , 1.55489 , 0.664 ,  , 459 , 390 , 18.7 ,  , 1.5e-9
492 , 5BZGJ0312+3615 , BL Lac-galaxy dominated , 48.2095 , 36.25542 , 0.071 ,  , 117 ,  , 14.1 , 1.72 , 
493 , 5BZUJ0313+4120 , Blazar Uncertain type , 48.25817 , 41.33367 , 0.136 ,  , 370 , 956 , 17 , 2.46 , 
494 , 5BZGJ0313+4115 , BL Lac-galaxy dominated , 48.49004 , 41.25656 , 0.029 ,  , 41 ,  , 15 , 0.35 , 
495 , 5BZQJ0314-6548 , QSO RLoud flat radio sp. , 48.59346 , -65.80689 , 0.636 ,  , 354 ,  , 17.6 , 0.9 , 
496 , 5BZBJ0314+0619 , BL Lac , 48.59958 , 6.33247 ,  ,  , 29 ,  , 17.5 , 7.07 , 
497 , 5BZBJ0314-5104 , BL Lac , 48.60704 , -51.07547 ,  ,  , 103 ,  , 18.4 ,  , 6e-10
498 , 5BZBJ0315-1656 , BL Lac , 48.86533 , -16.94158 ,  ,  , 284 ,  , 19.4 ,  , 
499 , 5BZQJ0315-2939 , QSO RLoud flat radio sp. , 48.88004 , -29.66639 , 1.217 ,  , 76 ,  , 19.6 ,  , 
500 , 5BZQJ0315-1031 , QSO RLoud flat radio sp. , 48.987 , -10.52764 , 1.565 ,  , 335 ,  , 19.1 , 0.12 , 8e-10
501 , 5BZBJ0316+0904 , BL Lac , 49.05296 , 9.07869 ,  ,  , 55 ,  , 17.2 , 1.89 , 2.3e-9
502 , 5BZBJ0316-6437 , BL Lac , 49.05975 , -64.62542 ,  ,  , 18 ,  , 16.6 , 3.14 , 7e-10
503 , 5BZBJ0316-2607 , BL Lac , 49.06221 , -26.13256 , 0.443 ,  , 21 ,  , 17 , 3.05 , 6e-10
504 , 5BZBJ0316-2216 , BL Lac , 49.14062 , -22.27022 , 0.228 ,  , 4 ,  , 17.3 , 1.38 , 
505 , 5BZQJ0317-2803 , QSO RLoud flat radio sp. , 49.39029 , -28.05517 , 1.166 ,  , 496 ,  , 20.8 ,  , 
506 , 5BZUJ0317+0248 , Blazar Uncertain type , 49.44967 , 2.81178 , 0.748 ,  , 89 ,  , 21.5 ,  , 8e-10
507 , 5BZQJ0319-1613 , QSO RLoud flat radio sp. , 49.77304 , -16.22964 , 1.618 ,  , 130 ,  , 19.3 ,  , 
508 , 5BZUJ0319+4130 , Blazar Uncertain type , 49.95067 , 41.51169 , 0.018 ,  , 22830 ,  , 12.3 ,  , 1.88e-8
509 , 5BZGJ0319+1901 , BL Lac-galaxy dominated , 49.96358 , 19.02536 , 0.296 ,  , 386 ,  , 18.8 ,  , 
510 , 5BZGJ0319+1845 , BL Lac-galaxy dominated , 49.96583 , 18.75958 , 0.19 ,  , 21 ,  , 18.1 , 8.33 , 1.1e-9
511 , 5BZQJ0320-3837 , QSO RLoud flat radio sp. , 50.19333 , -38.62458 , 1.194 ,  , 176 ,  , 20.7 ,  , 
512 , 5BZGJ0320-7500 , BL Lac-galaxy dominated , 50.2175 , -75.01058 , 0.077 ,  , 31 ,  , 14 ,  , 
513 , 5BZQJ0321-3122 , QSO RLoud flat radio sp. , 50.36975 , -31.38231 , 1.785 ,  , 322 ,  , 19 ,  , 
514 , 5BZQJ0321-0526 , QSO RLoud flat radio sp. , 50.49946 , -5.43678 , 0.579 ,  , 168 ,  , 18.6 , 0.2 , 
515 , 5BZBJ0321+2336 , BL Lac , 50.49971 , 23.60306 ,  ,  , 76 ,  , 16.4 , 0.65 , 1.4e-9
516 , 5BZQJ0322-5205 , QSO RLoud flat radio sp. , 50.53429 , -52.09306 , 0.416 ,  , 37 ,  , 17.4 , 1.62 , 
517 , 5BZQJ0322-5042 , QSO RLoud flat radio sp. , 50.55175 , -50.70919 , 0.651 ,  , 42 ,  , 18.6 , 0.5 , 
518 , 5BZQJ0322-1335 , QSO RLoud flat radio sp. , 50.66021 , -13.58825 , 1.468 ,  , 267 ,  , 22 , 0.06 , 
519 , 5BZBJ0323-0111 , BL Lac , 50.93175 , -1.19614 ,  ,  , 30 ,  , 16.6 , 0.6 , 5e-10
520 , 5BZBJ0323+0717 , BL Lac Candidate , 50.96163 , 7.29364 ,  ,  , 4 ,  , 19.1 , 2.07 , 
521 , 5BZBJ0323-0108 , BL Lac , 50.986 , -1.14156 , 0.392 ,  , 5 ,  , 19.8 , 0.69 , 5e-10
522 , 5BZUJ0324+3410 , Blazar Uncertain type , 51.1715 , 34.17942 , 0.061 ,  , 614 , 477 , 13.1 , 3.25 , 7e-10
523 , 5BZQJ0324-2918 , QSO RLoud flat radio sp. , 51.18458 , -29.30589 , 4.63 ,  , 237 ,  , 19 , 0.1 , 
524 , 5BZQJ0325-2140 , QSO RLoud flat radio sp. , 51.25333 , -21.67819 , 2.828 ,  , 99 ,  , 18.4 , 0.14 , 
525 , 5BZQJ0325-2415 , QSO RLoud flat radio sp. , 51.30579 , -24.26336 , 1.161 ,  , 182 ,  , 19 ,  , 
526 , 5BZQJ0325-5629 , QSO RLoud flat radio sp. , 51.34442 , -56.48467 , 0.862 ,  , 28 ,  , 17.9 , 0.13 , 6e-10
527 , 5BZQJ0325+2224 , QSO RLoud flat radio sp. , 51.40338 , 22.40011 , 2.066 ,  , 525 , 746 , 19.4 , 0.96 , 1.1e-9
528 , 5BZBJ0325-1646 , BL Lac Candidate , 51.42121 , -16.77133 , 0.291 ,  , 27 ,  , 16.3 , 27.2 , 7e-10
529 , 5BZBJ0326+0225 , BL Lac , 51.55821 , 2.42075 , 0.147 ,  , 68 ,  , 15.3 , 12 , 1.3e-9
530 , 5BZQJ0326-3243 , QSO RLoud flat radio sp. , 51.56271 , -32.72361 , 0.699 ,  , 95 ,  , 17.7 ,  , 
531 , 5BZQJ0326-5337 , QSO RLoud flat radio sp. , 51.71229 , -53.61706 , 0.543 ,  , 143 ,  , 17.9 , 0.17 , 
532 , 5BZQJ0327+0044 , QSO RLoud flat radio sp. , 51.99675 , 0.73964 , 1.357 ,  , 195 ,  , 18.2 ,  , 
533 , 5BZQJ0327-2202 , QSO RLoud flat radio sp. , 51.99967 , -22.03511 , 2.22 ,  , 641 ,  , 19.2 ,  , 
534 , 5BZUJ0329+3510 , Blazar Uncertain type , 52.31396 , 35.16833 , 0.5 ,  ?  , 290 , 269 , 16.1 , 0.5 , 
535 , 5BZQJ0329-2357 , QSO RLoud flat radio sp. , 52.47533 , -23.95244 , 0.895 ,  , 683 , 499 , 19.4 ,  , 
536 , 5BZQJ0331-2524 , QSO RLoud flat radio sp. , 52.78721 , -25.412 , 2.69 ,  , 320 ,  , 18.2 ,  , 
537 , 5BZUJ0332-1119 , Blazar Uncertain type , 53.09687 , -11.33072 ,  ,  , 45 ,  , 16.7 , 0.42 , 5e-10
538 , 5BZQJ0332-7249 , QSO RLoud flat radio sp. , 53.17917 , -72.81792 , 2.739 ,  , 246 ,  , 19.8 ,  , 
539 , 5BZQJ0332-4455 , QSO RLoud flat radio sp. , 53.18379 , -44.9325 , 2.679 ,  , 111 ,  , 17.1 , 0.2 , 7e-10
540 , 5BZBJ0333-3619 , BL Lac , 53.30117 , -36.32964 , 0.308 ,  , 15 ,  , 17.9 , 0.8 , 
541 , 5BZBJ0333+2916 , BL Lac , 53.45417 , 29.27542 ,  ,  , 194 ,  , 17.2 , 0.03 , 1.5e-9
542 , 5BZBJ0333+6536 , BL Lac , 53.48642 , 65.61561 ,  ,  , 288 ,  , 17.7 , 0.27 , 8e-10
543 , 5BZBJ0334-4008 , BL Lac , 53.55687 , -40.14039 ,  ,  , 1042 ,  , 17.5 , 0.73 , 4.3e-9
544 , 5BZBJ0334-3725 , BL Lac , 53.56425 , -37.42864 ,  ,  , 222 , 412 , 18.4 , 0.09 , 3.4e-9
545 , 5BZQJ0334+0800 , QSO RLoud flat radio sp. , 53.72217 , 8.004 , 1.982 ,  , 306 ,  , 22.5 ,  , 
546 , 5BZBJ0335-4459 , BL Lac , 53.80792 , -44.99444 ,  ,  , 19 ,  , 16.7 , 1.96 , 7e-10
547 , 5BZBJ0336-0347 , BL Lac , 54.09917 , -3.79406 , 0.162 ,  ?  , 54 ,  , 16.3 , 1.73 , 
548 , 5BZQJ0336+3218 , QSO RLoud flat radio sp. , 54.12546 , 32.30814 , 1.259 ,  , 2677 , 1164 , 16.6 , 2.8 , 1.1e-9
549 , 5BZQJ0336-1302 , QSO RLoud flat radio sp. , 54.146 , -13.03464 , 1.303 ,  , 377 ,  , 17.8 , 0.57 , 
550 , 5BZQJ0336-3616 , QSO RLoud flat radio sp. , 54.22504 , -36.26839 , 1.537 ,  , 501 , 314 , 18.7 , 0.31 , 
551 , 5BZQJ0337-1204 , QSO RLoud flat radio sp. , 54.48104 , -12.06792 , 3.442 ,  , 475 ,  , 21.1 ,  , 
552 , 5BZQJ0338+3106 , QSO RLoud flat radio sp. , 54.50142 , 31.10269 , 1.662 ,  , 139 ,  , 22.2 ,  , 
553 , 5BZBJ0338-2443 , BL Lac , 54.55208 , -24.73064 , 0.251 ,  , 13 ,  , 18.6 , 1.06 , 
554 , 5BZQJ0339-0133 , QSO RLoud flat radio sp. , 54.75404 , -1.55478 , 3.197 ,  , 593 ,  , 18.8 , 0.18 , 
555 , 5BZQJ0339-0146 , QSO RLoud flat radio sp. , 54.87892 , -1.77661 , 0.85 ,  , 2424 , 827 , 17.1 , 0.75 , 1.3e-9
556 , 5BZQJ0340-6703 , QSO RLoud flat radio sp. , 55.11767 , -67.05458 , 0.478 ,  , 400 ,  , 18.4 , 0.64 , 
557 , 5BZBJ0340-2119 , BL Lac , 55.14838 , -21.32533 , 0.233 ,  , 1075 , 382 , 16.5 , 0.47 , 5e-10
558 , 5BZQJ0341+3352 , QSO RLoud flat radio sp. , 55.29158 , 33.87267 , 0.725 ,  , 357 ,  , 20.6 ,  , 
559 , 5BZQJ0341-5954 , QSO RLoud flat radio sp. , 55.34004 , -59.90247 , 2.064 ,  , 377 ,  , 18.3 , 0.35 , 
560 , 5BZUJ0342+3859 , Blazar Uncertain type , 55.56775 , 38.98506 , 0.945 ,  , 62 , 188 , 20.9 ,  , 1.1e-9
561 , 5BZQJ0343-2530 , QSO RLoud flat radio sp. , 55.83133 , -25.50483 , 1.419 ,  , 503 ,  , 18.3 , 0.15 , 4e-10
562 , 5BZQJ0343+3622 , QSO RLoud flat radio sp. , 55.87063 , 36.37011 , 1.485 ,  , 513 ,  , 20.2 ,  , 
563 , 5BZQJ0343-1141 , QSO RLoud flat radio sp. , 55.92492 , -11.69381 , 2.259 ,  , 60 ,  , 22.7 , 0.04 , 
564 , 5BZQJ0344+1559 , QSO RLoud flat radio sp. , 56.09654 , 15.99539 , 2.276 ,  , 284 ,  , 19.9 ,  , 
565 , 5BZQJ0345+1453 , QSO RLoud flat radio sp. , 56.27675 , 14.89711 , 1.556 ,  , 317 ,  , 20.8 , 0.08 , 
566 , 5BZQJ0345-0023 , QSO RLoud flat radio sp. , 56.39033 , -0.38408 , 0.799 ,  , 93 ,  , 20 ,  , 
567 , 5BZQJ0347+4842 , QSO RLoud flat radio sp. , 56.79837 , 48.71042 , 2.043 ,  , 76 ,  , 20.9 ,  , 
568 , 5BZQJ0348-2749 , QSO RLoud flat radio sp. , 57.15892 , -27.82044 , 0.991 ,  , 840 , 380 , 17.7 , 1.02 , 7e-10
569 , 5BZBJ0348-1610 , BL Lac , 57.16363 , -16.17161 ,  ,  , 437 , 565 , 16.2 , 0.63 , 
570 , 5BZBJ0349-1159 , BL Lac , 57.34667 , -11.99083 , 0.188 ,  , 24 ,  , 17.4 , 14.3 , 
571 , 5BZQJ0349-2102 , QSO RLoud flat radio sp. , 57.49096 , -21.04658 , 2.944 ,  , 305 ,  , 19.7 , 0.4 , 2.2e-9
572 , 5BZQJ0350+5138 , QSO RLoud flat radio sp. , 57.60437 , 51.64408 , 1.437 ,  , 121 ,  , 21.6 ,  , 
573 , 5BZQJ0351-1153 , QSO RLoud flat radio sp. , 57.79575 , -11.88964 , 1.52 ,  , 503 ,  , 18.6 ,  , 
574 , 5BZQJ0351-7921 , QSO RLoud flat radio sp. , 57.85629 , -79.36564 , 1.333 ,  , 57 ,  , 18.6 ,  , 
575 , 5BZBJ0351-3703 , BL Lac , 57.97737 , -37.06228 , 0.165 ,  , 35 ,  , 16.4 , 1.24 , 
576 , 5BZBJ0353-3623 , BL Lac , 58.27096 , -36.38567 ,  ,  , 6 ,  , 18.2 , 2.29 , 
577 , 5BZQJ0354-1616 , QSO RLoud flat radio sp. , 58.60425 , -16.27292 , 1.187 ,  , 244 ,  , 18.5 ,  , 
578 , 5BZBJ0354+8009 , BL Lac Candidate , 58.69221 , 80.158 ,  ,  , 643 ,  , 20.1 , 0.09 , 1.2e-9
579 , 5BZBJ0357-4955 , BL Lac , 59.25071 , -49.93017 , 0.643 ,  ?  , 215 ,  , 16.8 , 0.28 , 4e-10
580 , 5BZUJ0357+2319 , Blazar Uncertain type , 59.34004 , 23.33161 , 1.484 ,  ?  , 177 , 366 , 18.8 , 0.14 , 
581 , 5BZQJ0357-4812 , QSO RLoud flat radio sp. , 59.34133 , -48.20422 , 1.005 ,  , 296 ,  , 16.2 , 0.44 , 
582 , 5BZQJ0357-4159 , QSO RLoud flat radio sp. , 59.40321 , -41.98369 , 1.271 ,  , 163 ,  , 15.4 , 0.08 , 
583 , 5BZQJ0357-0751 , QSO RLoud flat radio sp. , 59.43038 , -7.85406 , 1.05 ,  , 354 ,  , 16.4 ,  , 
584 , 5BZQJ0357+0542 , QSO RLoud flat radio sp. , 59.44221 , 5.70869 , 2.164 ,  , 104 ,  , 19.3 , 0.13 , 
585 , 5BZBJ0358-3054 , BL Lac Candidate , 59.73375 , -30.91328 ,  ,  , 8 ,  , 18.8 , 2.2 , 
586 , 5BZQJ0359+5057 , QSO RLoud flat radio sp. , 59.87396 , 50.96394 , 1.512 ,  , 4297 , 4821 , 18.1 , 0.78 , 
587 , 5BZBJ0359-2615 , BL Lac , 59.89033 , -26.25869 ,  ,  , 796 ,  , 20.6 ,  , 
588 , 5BZQJ0359+3220 , QSO RLoud flat radio sp. , 59.93712 , 32.34644 , 1.331 ,  , 651 ,  , 19.9 ,  , 
589 , 5BZQJ0400+0550 , QSO RLoud flat radio sp. , 60.04892 , 5.84531 , 0.761 ,  , 485 ,  , 17.6 ,  , 
590 , 5BZGJ0401-1606 , BL Lac-galaxy dominated , 60.27767 , -16.11083 , 0.032 ,  , 89 ,  , 9.9 , 0.19 , 
591 , 5BZBJ0401+8153 , BL Lac Candidate , 60.36967 , 81.88664 , 0.215 ,  , 13 ,  , 17.8 , 1.74 , 
592 , 5BZQJ0401+2110 , QSO RLoud flat radio sp. , 60.43821 , 21.17461 , 0.834 ,  , 246 ,  , 18.3 ,  , 
593 , 5BZBJ0402-2615 , BL Lac , 60.50325 , -26.26092 ,  ,  , 145 ,  , 18.8 , 0.14 , 5e-10
594 , 5BZQJ0402-3147 , QSO RLoud flat radio sp. , 60.58863 , -31.79053 , 1.288 ,  , 681 , 488 , 20.8 ,  , 3e-10
595 , 5BZQJ0403+2600 , QSO RLoud flat radio sp. , 60.77329 , 26.00042 , 2.109 ,  , 936 , 549 , 19.6 , 0.14 , 
596 , 5BZBJ0403-2429 , BL Lac , 60.85233 , -24.49717 , 0.357 ,  , 7 ,  , 18.5 , 2.32 , 
597 , 5BZQJ0403-2444 , QSO RLoud flat radio sp. , 60.92392 , -24.73569 , 0.598 ,  , 167 ,  , 19.6 ,  , 
598 , 5BZQJ0403-3605 , QSO RLoud flat radio sp. , 60.97396 , -36.08386 , 1.417 ,  , 1151 , 3911 , 16.6 , 1.54 , 5.6e-9
599 , 5BZQJ0405-0739 , QSO RLoud flat radio sp. , 61.25333 , -7.65567 , 2.817 ,  , 80 ,  , 19.4 ,  , 
600 , 5BZQJ0405-1308 , QSO RLoud flat radio sp. , 61.39167 , -13.13714 , 0.571 ,  , 4218 , 512 , 16.6 , 0.97 , 5e-10
601 , 5BZQJ0406-1749 , QSO RLoud flat radio sp. , 61.551 , -17.83275 , 1.64 ,  , 633 ,  , 18 ,  , 
602 , 5BZQJ0406+0637 , QSO RLoud flat radio sp. , 61.643 , 6.62086 , 0.666 ,  , 218 ,  , 19.4 ,  , 
603 , 5BZUJ0406-3826 , Blazar Uncertain type , 61.74596 , -38.44111 , 1.285 ,  ?  , 861 , 648 , 17.6 , 0.31 , 2e-9
604 , 5BZBJ0407+0742 , BL Lac , 61.87121 , 7.70208 , 1.133 ,  ?  , 296 ,  , 17.3 , 0.23 , 7e-10
605 , 5BZQJ0407-3303 , QSO RLoud flat radio sp. , 61.89129 , -33.06289 , 2.562 ,  , 635 ,  , 19.4 ,  , 
606 , 5BZUJ0407-1211 , Blazar Uncertain type , 61.95179 , -12.19353 , 0.573 ,  , 2940 , 338 , 14.7 , 4.94 , 
607 , 5BZQJ0409-1238 , QSO RLoud flat radio sp. , 62.27404 , -12.64669 , 1.563 ,  , 454 ,  , 18.3 , 0.15 , 
608 , 5BZBJ0409-0555 , BL Lac , 62.29729 , -5.92481 ,  ,  , 27 ,  , 19.8 ,  , 
609 , 5BZBJ0409+1217 , BL Lac , 62.34171 , 12.29439 , 0.504 ,  ?  , 430 ,  , 19 , 0.15 , 
610 , 5BZBJ0409+0640 , BL Lac , 62.35771 , 6.67642 , 0.805 ,  , 144 ,  , 20 ,  , 
611 , 5BZBJ0409-0400 , BL Lac , 62.44413 , -4.001 ,  ,  , 40 ,  , 17 , 0.32 , 8e-10
612 , 5BZQJ0410-7750 , QSO RLoud flat radio sp. , 62.67629 , -77.84536 , 2.449 ,  , 440 ,  , 18.6 ,  , 
613 , 5BZQJ0410-1636 , QSO RLoud flat radio sp. , 62.7475 , -16.60278 , 0.622 ,  , 184 ,  , 16.8 , 0.5 , 
614 , 5BZBJ0411-3941 , BL Lac , 62.79688 , -39.69517 ,  ,  , 5 ,  , 19.5 , 2.33 , 
615 , 5BZQJ0411-5149 , QSO RLoud flat radio sp. , 62.90479 , -51.82317 , 1.257 ,  , 351 ,  , 16.5 , 0.47 , 
616 , 5BZQJ0412+0010 , QSO RLoud flat radio sp. , 63.13942 , 0.18014 , 1.13 ,  , 261 ,  , 21.7 ,  , 
617 , 5BZQJ0412+0438 , QSO RLoud flat radio sp. , 63.15912 , 4.63503 , 1.081 ,  , 190 ,  , 19.7 ,  , 
618 , 5BZQJ0412-4604 , QSO RLoud flat radio sp. , 63.20954 , -46.08047 , 2.223 ,  , 439 ,  , 19.9 ,  , 
619 , 5BZQJ0413-5332 , QSO RLoud flat radio sp. , 63.30617 , -53.53347 , 1.024 ,  , 143 ,  , 18.1 ,  , 1.1e-9
620 , 5BZQJ0415-4023 , QSO RLoud flat radio sp. , 63.81021 , -40.39475 , 1.389 ,  , 15 ,  , 15.9 ,  , 
621 , 5BZUJ0416-2056 , Blazar Uncertain type , 64.01817 , -20.94097 , 0.807 ,  , 2779 ,  , 18.9 , 0.46 , 
622 , 5BZUJ0416-4355 , Blazar Uncertain type , 64.02425 , -43.92072 , 0.398 ,  , 16 ,  , 18.2 ,  , 4e-10
623 , 5BZQJ0416-1851 , QSO RLoud flat radio sp. , 64.15225 , -18.85231 , 1.536 ,  , 1248 , 442 , 17.3 , 0.26 , 1.2e-9
624 , 5BZBJ0416+0105 , BL Lac , 64.21871 , 1.08997 , 0.287 ,  , 120 ,  , 16.9 , 22.6 , 7e-10
625 , 5BZQJ0419-2132 , QSO RLoud flat radio sp. , 64.75175 , -21.54325 , 1.646 ,  , 156 ,  , 18.2 ,  , 
626 , 5BZQJ0419-3010 , QSO RLoud flat radio sp. , 64.94671 , -30.17328 , 1.003 ,  , 179 ,  , 17.6 , 0.21 , 
627 , 5BZQJ0420-1501 , QSO RLoud flat radio sp. , 65.07662 , -15.02406 , 1.18 ,  , 249 , 209 , 19.2 ,  , 
628 , 5BZQJ0421-4818 , QSO RLoud flat radio sp. , 65.3645 , -48.30144 , 0.527 ,  , 267 ,  , 17.9 ,  , 
629 , 5BZBJ0421-0629 , BL Lac Candidate , 65.38717 , -6.48422 , 0.391 ,  , 15 ,  , 18.2 , 2.66 , 
630 , 5BZQJ0422-0643 , QSO RLoud flat radio sp. , 65.545 , -6.72925 , 0.242 ,  , 150 ,  , 16.9 , 0.35 , 7e-10
631 , 5BZQJ0422-3844 , QSO RLoud flat radio sp. , 65.56162 , -38.74803 , 3.11 ,  , 197 ,  , 16.3 , 0.2 , 
632 , 5BZBJ0422+1950 , BL Lac , 65.57637 , 19.84861 , 0.516 ,  , 9 ,  , 18.6 , 2.12 , 
633 , 5BZQJ0422+1741 , QSO RLoud flat radio sp. , 65.69908 , 17.68775 , 0.908 ,  , 50 ,  , 19.5 , 0.15 , 
634 , 5BZQJ0422+0219 , QSO RLoud flat radio sp. , 65.71754 , 2.32414 , 2.277 ,  , 677 ,  , 19.3 , 0.41 , 1e-9
635 , 5BZQJ0423-0120 , QSO RLoud flat radio sp. , 65.81583 , -1.34253 , 0.916 ,  , 2726 , 5267 , 16.7 , 1.39 , 6.6e-9
636 , 5BZBJ0423+4150 , BL Lac Candidate , 65.98337 , 41.83408 ,  ,  , 1756 ,  , 19.2 ,  , 2.9e-9
637 , 5BZQJ0424+0204 , QSO RLoud flat radio sp. , 66.03567 , 2.07361 , 2.056 ,  , 1150 ,  , 16.4 ,  , 
638 , 5BZQJ0424-3848 , QSO RLoud flat radio sp. , 66.1405 , -38.81156 , 2.346 ,  , 537 ,  , 18.7 , 1 , 
639 , 5BZQJ0424-3756 , QSO RLoud flat radio sp. , 66.176 , -37.93911 , 0.782 ,  , 474 , 410 , 17.3 , 0.75 , 
640 , 5BZBJ0424+0036 , BL Lac , 66.19517 , 0.60178 ,  ,  , 493 , 452 , 14.3 , 0.69 , 1.9e-9
641 , 5BZQJ0424+0805 , QSO RLoud flat radio sp. , 66.24 , 8.08806 , 3.085 ,  , 149 ,  , 19.9 , 0.08 , 
642 , 5BZBJ0425-5331 , BL Lac , 66.26779 , -53.53286 ,  ,  , 261 , 151 , 16.1 , 0.48 , 6e-10
643 , 5BZQJ0425-5754 , QSO RLoud flat radio sp. , 66.26967 , -57.91547 , 0.886 ,  , 112 ,  , 18.9 , 0.21 , 
644 , 5BZGJ0425-0833 , BL Lac-galaxy dominated , 66.46383 , -8.56108 , 0.039 ,  , 112 ,  , 13.5 , 12 , 
645 , 5BZQJ0426+0518 , QSO RLoud flat radio sp. , 66.6525 , 5.30553 , 1.333 ,  , 688 ,  , 18.8 ,  , 7e-10
646 , 5BZQJ0427-0756 , QSO RLoud flat radio sp. , 66.80929 , -7.94025 , 1.375 ,  , 74 ,  , 19.1 , 0.15 , 
647 , 5BZQJ0428+3259 , QSO RLoud flat radio sp. , 67.02421 , 32.99778 , 0.476 ,  , 148 ,  , 21.4 , 0.21 , 
648 , 5BZQJ0428+1732 , QSO RLoud flat radio sp. , 67.14846 , 17.53989 , 3.317 ,  , 178 ,  , 18.2 , 0.2 , 
649 , 5BZBJ0428-3756 , BL Lac , 67.16842 , -37.93878 , 1.11 ,  ?  , 753 , 1813 , 16.3 , 0.42 , 3.11e-8
650 , 5BZGJ0428-3805 , BL Lac-galaxy dominated , 67.21192 , -38.09736 , 0.15 ,  , 48 ,  , 15.6 , 0.1 , 
651 , 5BZBJ0429-3236 , BL Lac Candidate , 67.25071 , -32.61144 ,  ,  , 9 ,  , 18.3 , 3.29 , 
652 , 5BZQJ0429-4328 , QSO RLoud flat radio sp. , 67.35421 , -43.47681 , 1.423 ,  , 462 ,  , 18.5 , 0.14 , 
653 , 5BZBJ0430-2507 , BL Lac , 67.56671 , -25.12747 ,  ,  , 107 ,  , 18.8 , 0.09 , 4e-10
654 , 5BZQJ0431-0406 , QSO RLoud flat radio sp. , 67.86704 , -4.10758 , 0.628 ,  , 89 ,  , 20.7 , 0.34 , 
655 , 5BZUJ0431+1731 , Blazar Uncertain type , 67.98908 , 17.52661 ,  ,  , 374 ,  , 21.3 , 0.08 , 
656 , 5BZQJ0432-5109 , QSO RLoud flat radio sp. , 68.08825 , -51.157 , 0.557 ,  , 737 ,  , 17.3 ,  , 
657 , 5BZUJ0433+0521 , Blazar Uncertain type , 68.29621 , 5.35433 , 0.033 ,  , 3440 , 1480 , 13.8 , 22.7 , 
658 , 5BZBJ0433-4502 , BL Lac , 68.30767 , -45.0485 , 0.324 ,  ?  , 53 ,  , 18.7 ,  , 
659 , 5BZQJ0433-6030 , QSO RLoud flat radio sp. , 68.39213 , -60.50383 , 0.93 ,  , 415 , 163 , 18 , 0.13 , 9e-10
660 , 5BZBJ0433+2905 , BL Lac , 68.40763 , 29.09875 , 0.97 ,  ?  , 402 ,  , 18.6 , 0.61 , 4.3e-9
661 , 5BZQJ0433+3237 , QSO RLoud flat radio sp. , 68.41946 , 32.61986 , 2.011 ,  , 109 ,  , 19.1 , 0.06 , 6e-10
662 , 5BZQJ0434-4355 , QSO RLoud flat radio sp. , 68.51354 , -43.92978 , 2.649 ,  , 474 ,  , 19.7 ,  , 
663 , 5BZBJ0434-2015 , BL Lac , 68.533 , -20.25478 ,  ,  , 166 ,  , 19.6 , 0.34 , 7e-10
664 , 5BZQJ0434-1442 , QSO RLoud flat radio sp. , 68.57929 , -14.71539 , 1.899 ,  , 205 ,  , 19.6 , 0.04 , 
665 , 5BZBJ0434-2342 , BL Lac , 68.62071 , -23.70147 ,  ,  , 50 ,  , 20.9 ,  , 4e-10
666 , 5BZQJ0435-0811 , QSO RLoud flat radio sp. , 68.78475 , -8.18419 , 0.791 ,  , 51 ,  , 19.5 , 0.14 , 
667 , 5BZQJ0435+2532 , QSO RLoud flat radio sp. , 68.89408 , 25.54992 , 0.602 ,  , 480 ,  , 20.3 ,  , 
668 , 5BZQJ0435+2923 , QSO RLoud flat radio sp. , 68.99321 , 29.39344 , 2.336 ,  , 120 ,  , 21.1 ,  , 
669 , 5BZQJ0437-1844 , QSO RLoud flat radio sp. , 69.25617 , -18.74683 , 2.702 ,  , 714 ,  , 18.8 ,  , 
670 , 5BZQJ0437-2954 , QSO RLoud flat radio sp. , 69.40237 , -29.90114 , 1.328 ,  , 1092 ,  , 15.2 , 1.21 , 
671 , 5BZQJ0438+3004 , QSO RLoud flat radio sp. , 69.52062 , 30.07931 , 1.454 ,  , 766 ,  , 19.4 ,  , 
672 , 5BZQJ0438-1251 , QSO RLoud flat radio sp. , 69.64592 , -12.85094 , 1.285 ,  , 367 , 361 , 18.1 ,  , 5e-10
673 , 5BZQJ0438-2012 , QSO RLoud flat radio sp. , 69.71038 , -20.20733 , 2.146 ,  , 494 ,  , 22.8 ,  , 
