id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
3041 , 5BZBJ2001+7040 , BL Lac , 300.39146 , 70.67372 ,  ,  , 160 ,  , 19.6 , 0.13 , 8e-10
3042 , 5BZQJ2003-3251 , QSO RLoud flat radio sp. , 300.8505 , -32.86253 , 3.773 ,  , 447 ,  , 17.1 , 0.2 , 
3043 , 5BZGJ2003-0856 , BL Lac-galaxy dominated , 300.97683 , -8.94525 , 0.057 ,  , 9 ,  , 11.3 , 1.97 , 
3044 , 5BZQJ2004-6347 , QSO RLoud flat radio sp. , 301.12283 , -63.78981 , 2.189 ,  , 748 ,  , 19.2 ,  , 
3045 , 5BZBJ2005+7004 , BL Lac , 301.27625 , 70.07797 ,  ,  , 8 ,  , 19.2 , 0.59 , 1.2e-9
3046 , 5BZQJ2005-1822 , QSO RLoud flat radio sp. , 301.32204 , -18.36758 , 0.868 ,  , 737 , 483 , 18.2 , 0.42 , 
3047 , 5BZBJ2005+7752 , BL Lac , 301.37917 , 77.87867 , 0.342 ,  , 1061 , 939 , 16.1 , 0.43 , 1.1e-9
3048 , 5BZQJ2005-2310 , QSO RLoud flat radio sp. , 301.48583 , -23.17417 , 0.833 ,  ?  , 325 , 223 , 18.8 , 0.15 , 1.6e-9
3049 , 5BZQJ2006+6424 , QSO RLoud flat radio sp. , 301.57371 , 64.41261 , 1.574 ,  , 519 , 492 , 18.5 , 0.12 , 
3050 , 5BZQJ2007+0636 , QSO RLoud flat radio sp. , 301.79967 , 6.61239 , 2.864 ,  , 249 ,  , 20.1 ,  , 
3051 , 5BZQJ2007+6607 , QSO RLoud flat radio sp. , 301.86988 , 66.12292 , 1.325 ,  , 509 , 188 , 20.3 ,  , 
3052 , 5BZQJ2007+4029 , QSO RLoud flat radio sp. , 301.93725 , 40.49683 , 1.736 ,  , 2470 , 1507 , 20.3 , 0.73 , 
3053 , 5BZQJ2007-4434 , QSO RLoud flat radio sp. , 301.97992 , -44.57897 , 0.24 ,  , 862 ,  , 18 , 0.27 , 7e-10
3054 , 5BZUJ2008-0418 , Blazar Uncertain type , 302.10179 , -4.30814 , 0.589 ,  , 1042 ,  , 17.6 , 0.51 , 1.1e-9
3055 , 5BZBJ2009-4849 , BL Lac , 302.35579 , -48.83158 , 0.071 ,  , 1299 , 506 , 11 , 33.3 , 3.8e-9
3056 , 5BZBJ2009+7229 , BL Lac , 302.46792 , 72.48872 ,  ,  , 954 , 388 , 19 , 0.13 , 1.4e-9
3057 , 5BZQJ2009+0727 , QSO RLoud flat radio sp. , 302.48129 , 7.45381 , 0.762 ,  , 269 ,  , 19 ,  , 
3058 , 5BZQJ2010-2523 , QSO RLoud flat radio sp. , 302.58233 , -25.39981 , 0.825 ,  , 59 ,  , 19.4 , 1.71 , 
3059 , 5BZQJ2010+6116 , QSO RLoud flat radio sp. , 302.70538 , 61.27089 , 0.87 ,  , 251 ,  , 20.4 ,  , 
3060 , 5BZQJ2011-1546 , QSO RLoud flat radio sp. , 302.81546 , -15.77786 , 1.178 ,  , 547 , 567 , 16.8 , 1.72 , 
3061 , 5BZBJ2012+4628 , BL Lac , 303.0235 , 46.48217 ,  ,  , 620 , 656 , 16.8 , 3.84 , 2.6e-9
3062 , 5BZBJ2014-0047 , BL Lac , 303.61933 , -0.78967 ,  ,  , 125 ,  , 17.7 , 0.77 , 1e-9
3063 , 5BZBJ2014+0648 , BL Lac , 303.6295 , 6.81453 , 0.341 ,  , 16 ,  , 17.8 , 0.42 , 5e-10
3064 , 5BZQJ2015-1252 , QSO RLoud flat radio sp. , 303.80708 , -12.88247 , 0.614 ,  , 52 ,  , 20.2 ,  , 
3065 , 5BZBJ2015-0137 , BL Lac , 303.81317 , -1.62572 ,  ,  , 922 ,  , 16.5 , 0.27 , 1.2e-9
3066 , 5BZUJ2015+3710 , Blazar Uncertain type , 303.86971 , 37.18319 ,  ,  , 2167 , 2363 , 21.4 , 0.66 , 1.2e-8
3067 , 5BZQJ2015+6554 , QSO RLoud flat radio sp. , 303.98071 , 65.91464 , 2.845 ,  , 669 , 207 , 19.9 , 0.24 , 
3068 , 5BZBJ2016-0903 , BL Lac , 304.10013 , -9.05928 ,  ,  , 76 ,  , 16.9 , 0.3 , 1.9e-9
3069 , 5BZQJ2017+7440 , QSO RLoud flat radio sp. , 304.3045 , 74.68 , 2.187 ,  , 474 , 212 , 18.2 , 0.34 , 
3070 , 5BZQJ2017+0603 , QSO RLoud flat radio sp. , 304.30587 , 6.052 , 1.743 ,  , 37 ,  , 17.2 , 0.14 , 6.4e-9
3071 , 5BZBJ2017-3753 , BL Lac , 304.36958 , -37.89611 , 0.598 ,  ?  , 286 ,  , 20 ,  , 
3072 , 5BZQJ2018-1109 , QSO RLoud flat radio sp. , 304.61671 , -11.16542 , 0.9 ,  , 130 ,  , 18.1 ,  , 
3073 , 5BZQJ2018-0509 , QSO RLoud flat radio sp. , 304.74067 , -5.15817 , 0.905 ,  , 71 , 255 , 19 ,  , 
3074 , 5BZQJ2019-5201 , QSO RLoud flat radio sp. , 304.76829 , -52.02764 , 1.717 ,  , 394 ,  , 18.2 , 0.29 , 
3075 , 5BZQJ2020+6747 , QSO RLoud flat radio sp. , 305.07879 , 67.78511 , 2.571 ,  , 238 ,  , 20 ,  , 
3076 , 5BZQJ2022+6136 , QSO RLoud flat radio sp. , 305.52783 , 61.61633 , 0.228 ,  , 2097 , 230 , 17.7 , 0.06 , 
3077 , 5BZBJ2022-4513 , BL Lac , 305.60917 , -45.22528 ,  ,  , 141 ,  ,  ,  , 5e-10
3078 , 5BZBJ2022+7611 , BL Lac , 305.64825 , 76.19061 ,  ,  , 429 , 589 , 16.7 , 0.8 , 1.5e-9
3079 , 5BZUJ2023-1139 , Blazar Uncertain type , 305.90279 , -11.66608 ,  ,  , 175 ,  , 20.4 ,  , 1.1e-9
3080 , 5BZQJ2023-3655 , QSO RLoud flat radio sp. , 305.94208 , -36.9225 , 1.048 ,  , 437 ,  , 17.1 ,  , 
3081 , 5BZQJ2024-3253 , QSO RLoud flat radio sp. , 306.14825 , -32.89331 , 1.465 ,  , 887 , 425 , 18.7 ,  , 
3082 , 5BZQJ2024+1718 , QSO RLoud flat radio sp. , 306.23567 , 17.30367 , 1.05 ,  , 279 , 372 , 17.4 ,  , 
3083 , 5BZQJ2025+0316 , QSO RLoud flat radio sp. , 306.29013 , 3.27903 , 2.21 ,  , 406 ,  , 20.1 ,  , 
3084 , 5BZUJ2025+3343 , Blazar Uncertain type , 306.29517 , 33.71672 , 0.219 ,  ?  , 1269 , 2619 ,  , 0.12 , 4.1e-9
3085 , 5BZQJ2025-0735 , QSO RLoud flat radio sp. , 306.41942 , -7.59797 , 1.388 ,  , 1347 , 940 , 18.7 , 0.65 , 1.01e-8
3086 , 5BZQJ2025-2845 , QSO RLoud flat radio sp. , 306.47338 , -28.76353 , 0.884 ,  , 207 ,  , 17.7 , 0.28 , 
3087 , 5BZQJ2027-0831 , QSO RLoud flat radio sp. , 306.96917 , -8.53219 , 1.697 ,  , 362 ,  , 18.9 ,  , 
3088 , 5BZUJ2029+4926 , Blazar Uncertain type , 307.41612 , 49.4395 ,  ,  , 93 , 240 ,  ,  , 4.1e-9
3089 , 5BZUJ2030-0622 , Blazar Uncertain type , 307.56308 , -6.37081 , 0.671 ,  , 244 ,  , 21.9 , 0.03 , 9e-10
3090 , 5BZQJ2030-0503 , QSO RLoud flat radio sp. , 307.59342 , -5.05356 , 0.543 ,  , 283 , 274 , 19.5 ,  , 
3091 , 5BZUJ2030-3039 , Blazar Uncertain type , 307.74138 , -30.65678 , 0.539 ,  , 212 ,  , 19.9 ,  , 
3092 , 5BZQJ2031+0239 , QSO RLoud flat radio sp. , 307.94687 , 2.66036 , 0.858 ,  , 74 ,  , 18.4 ,  , 
3093 , 5BZQJ2031+5455 , QSO RLoud flat radio sp. , 307.94983 , 54.91753 , 1.262 ,  , 1154 ,  , 17.2 , 0.45 , 
3094 , 5BZUJ2031+1219 , Blazar Uncertain type , 307.97913 , 12.32814 , 1.215 ,  , 999 , 856 , 17.4 , 0.19 , 1.2e-9
3095 , 5BZUJ2034+1154 , Blazar Uncertain type , 308.65463 , 11.90872 , 0.607 ,  , 342 ,  , 17.9 , 0.32 , 
3096 , 5BZQJ2035+1056 , QSO RLoud flat radio sp. , 308.84304 , 10.93522 , 0.601 ,  , 1075 , 455 , 17.4 , 0.27 , 1.5e-9
3097 , 5BZQJ2035-6944 , QSO RLoud flat radio sp. , 308.92029 , -69.73536 , 0.875 ,  , 16 ,  , 16.3 ,  , 
3098 , 5BZQJ2035-6846 , QSO RLoud flat radio sp. , 308.95367 , -68.77606 , 1.084 ,  , 305 , 507 , 19 ,  , 
3099 , 5BZQJ2035-6602 , QSO RLoud flat radio sp. , 308.96467 , -66.03542 , 2.296 ,  , 354 ,  , 17.5 ,  , 
3100 , 5BZBJ2036+6553 , BL Lac , 309.08392 , 65.88736 ,  ,  , 131 ,  , 18 ,  , 6e-10
3101 , 5BZQJ2036-2830 , QSO RLoud flat radio sp. , 309.15738 , -28.50736 , 2.308 ,  , 64 ,  , 20.6 , 0.17 , 
3102 , 5BZQJ2036-0629 , QSO RLoud flat radio sp. , 309.16962 , -6.48439 , 1.636 ,  , 1045 ,  , 21.5 ,  , 
3103 , 5BZQJ2036-2146 , QSO RLoud flat radio sp. , 309.21321 , -21.77686 , 2.299 ,  , 209 ,  , 19 ,  , 
3104 , 5BZQJ2037-1522 , QSO RLoud flat radio sp. , 309.36642 , -15.36681 , 1.802 ,  , 143 ,  , 20.2 ,  , 
3105 , 5BZQJ2038+5119 , QSO RLoud flat radio sp. , 309.65429 , 51.32019 , 1.686 ,  , 6081 , 972 , 18.9 , 0.28 , 
3106 , 5BZBJ2038-2636 , BL Lac , 309.68742 , -26.60881 , 0.437 ,  , 6 ,  , 19.5 , 1.95 , 
3107 , 5BZBJ2039-1046 , BL Lac , 309.75296 , -10.77828 ,  ,  , 193 ,  , 19 , 0.53 , 2.2e-9
