SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
 870    5.97    0.09       1    5.65    0.04       1    5.78    0.03       1    5.75    0.03       1    5.83    0.23       1
 871    6.81    0.01       1    6.90    0.00       1    6.96    0.00       1    7.03    0.00       1    7.08    0.03       1
 872    7.12    0.04       1    7.00    0.01       1    7.01    0.02       1    7.07    0.01       1    7.13    0.10       1
 873    4.94    0.27       1    6.15    0.04       1    5.92    0.06       1    6.19    0.04       1    5.96    0.68       1
 874    5.84    0.25       1    6.39    0.04       1    6.37    0.04       1    6.43    0.04       1    4.08    0.62       1
 875   10.37    0.17    1012   10.60    0.17    1012   10.74    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 876    7.91    0.17    1002    7.88    0.17    1002    8.68    0.17    1034    8.90    0.19    1004    9.00    0.21    1004
 877    6.44    0.07       1    6.38    0.03       1    6.32    0.04       1    6.34    0.05       1    6.71    0.18       1
 878    7.22    0.17    1002    7.13    0.17    1002    7.23    0.17    1034    7.28    0.19    1004    7.32    0.21    1004
 879    7.30    0.17    1002    7.21    0.17    1002    7.20    0.17    1034    7.28    0.19    1004    7.33    0.21    1004
 880   -9.99   -9.99       0   -9.99   -9.99       0    5.49    0.50    1034    5.75    0.56    1004    5.74    0.60    1004
 881    7.22    0.03       1    7.39    0.01       1    7.41    0.01       1    7.48    0.01       1    7.45    0.07       1
 882    6.85    1.22    1002    6.72    0.68    1002    7.01    0.17    1034    7.03    0.19    1004    7.07    0.21    1004
 883    7.07    0.17    1002    6.96    0.68    1002    6.67    0.50    1034    6.75    0.56    1004    6.77    0.60    1004
 884   -9.99   -9.99       0   -9.99   -9.99       0    6.04    0.50    1034    6.21    0.56    1004    6.21    0.60    1004
 885   -9.99   -9.99       0   -9.99   -9.99       0    6.08    0.50    1034    6.14    0.56    1004    6.15    0.60    1004
 886    8.12    0.00       1    8.35    0.00       1    8.45    0.00       1    8.55    0.00       1    8.67    0.00       1
 887    6.72    0.36       1    6.52    0.06       1    6.53    0.06       1    6.76    0.05       1    6.39    0.89       1
 888    8.66    0.00       1    8.79    0.00       1    8.86    0.00       1    8.93    0.00       1    8.97    0.00       1
 889    6.61    0.05       1    6.52    0.02       1    6.55    0.01       1    6.52    0.02       1    6.65    0.12       1
 890    8.15    0.00       1    8.23    0.00       1    8.27    0.00       1    8.35    0.00       1    8.39    0.01       1
 891    6.43    0.03       1    6.39    0.01       1    6.40    0.01       1    6.43    0.01       1    6.54    0.08       1
 892    5.81    0.38       1    6.09    0.04       1    6.04    0.04       1    6.30    0.03       1    5.75    0.96       1
 893    5.25    0.18       1    4.91    0.19       1    4.95    0.15       1    5.17    0.10       1    4.95    0.46       1
 894   -9.99   -9.99       0   -9.99   -9.99       0    5.58    0.50    1034    5.52    0.56    1004    5.50    0.60    1004
 895    5.22    0.35       1    6.48    0.04       1    6.02    0.11       1    6.63    0.03       1    6.21    0.88       1
 896    6.86    0.03       1    7.13    0.01       1    7.17    0.01       1    7.20    0.01       1    7.28    0.07       1
 897    8.52    0.00       1    8.58    0.00       1    8.62    0.00       1    8.69    0.00       1    8.77    0.00       1
 898    6.96    0.08       1    6.75    0.02       1    6.85    0.02       1    6.78    0.02       1    6.87    0.20       1
 899    8.66    0.00       1    8.78    0.00       1    8.81    0.00       1    8.88    0.00       1    8.92    0.00       1
 900    6.02    0.19       1    6.37    0.04       1    6.31    0.04       1    6.24    0.06       1    6.21    0.48       1
 901    9.48    0.00       1    9.71    0.00       1    9.81    0.00       1    9.93    0.00       1   10.00    0.00       1
 902    7.41    0.04       1    7.16    0.02       1    7.17    0.01       1    7.26    0.02       1    7.41    0.09       1
 903    4.10    0.52       1    6.39    0.06       1    5.40    0.71       1    5.04    1.88       1    6.07    1.30       1
 904    4.71    0.13       1    5.90    0.04       1    5.96    0.03       1    5.98    0.04       1    6.04    0.33       1
 905    4.77    1.22    1002    4.44    0.68    1002    4.23    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 906    8.16    0.00       1    8.31    0.00       1    8.35    0.00       1    8.41    0.00       1    8.45    0.01       1
 907    6.53    0.04       1    7.03    0.01       1    7.07    0.01       1    7.15    0.01       1    7.05    0.11       1
 908   -9.99   -9.99       0   -9.99   -9.99       0    5.76    0.50    1034    5.81    0.56    1004    5.81    0.60    1004
 909    7.12    0.03       1    7.10    0.01       1    7.09    0.02       1    7.09    0.01       1    7.18    0.07       1
 910   -9.99   -9.99       0   -9.99   -9.99       0    5.98    0.50    1034    6.05    0.56    1004    6.05    0.60    1004
 911    7.69    0.02       1    7.75    0.00       1    7.77    0.00       1    7.85    0.00       1    7.93    0.04       1
 912    7.24    0.01       1    7.30    0.00       1    7.35    0.00       1    7.42    0.00       1    7.47    0.03       1
 913    6.44    0.61       1    7.05    0.01       1    7.06    0.01       1    7.15    0.01       1    6.10    1.52       1
 914    7.22    0.17    1002    7.13    0.17    1002    7.17    0.17    1034    7.14    0.19    1004    7.18    0.21    1004
 915   -9.99   -9.99       0   -9.99   -9.99       0    6.33    0.50    1034    6.41    0.56    1004    6.42    0.60    1004
 916    9.33    0.00       1    9.52    0.00       1    9.60    0.00       1    9.70    0.00       1    9.82    0.00       1
 917    5.80    0.30       1    6.23    0.05       1    6.26    0.04       1    6.13    0.08       1    6.20    0.75       1
 918    4.93    0.24       1    5.68    0.06       1    5.71    0.05       1    5.67    0.07       1    5.65    0.59       1
 919    6.89    0.22       1    6.66    0.07       1    6.71    0.06       1    6.71    0.08       1    6.82    0.55       1
 920    8.44    0.00       1    8.69    0.00       1    8.77    0.00       1    8.84    0.00       1    8.89    0.01       1
 921    5.75    0.79       1    6.13    0.07       1    6.18    0.06       1    6.19    0.08       1    5.66    1.98       1
 922   -9.99   -9.99       0   -9.99   -9.99       0    6.18    0.50    1034    6.21    0.56    1004    6.22    0.60    1004
 923    6.62    0.03       1    6.58    0.01       1    6.70    0.01       1    6.81    0.01       1    6.86    0.08       1
 924   -9.99   -9.99       0   -9.99   -9.99       0    5.91    0.50    1034    5.91    0.56    1004    5.90    0.60    1004
 925    7.33    0.02       1    7.33    0.01       1    7.38    0.00       1    7.46    0.00       1    7.49    0.05       1
 926    7.41    0.04       1    7.29    0.01       1    7.33    0.01       1    7.40    0.01       1    7.42    0.09       1
 927    7.02    0.37       1    7.02    0.03       1    7.04    0.02       1    7.05    0.04       1    6.59    0.93       1
 928    5.44    0.48       1    4.97    1.36       1    6.11    0.06       1    5.43    0.56       1    6.05    1.19       1
 929    9.67    0.00       1    9.86    0.00       1   10.01    0.00       1   10.12    0.00       1   10.30    0.00       1
 930    6.94    0.16       1    6.87    0.04       1    6.92    0.04       1    7.10    0.03       1    6.96    0.41       1
 931    8.62    0.00       1    8.71    0.00       1    8.77    0.00       1    8.86    0.00       1    8.92    0.00       1
 932   -9.99   -9.99       0   -9.99   -9.99       0    6.70    0.50    1034    6.67    0.56    1004    6.69    0.60    1004
 933    6.90    0.08       1    6.74    0.03       1    6.87    0.02       1    6.82    0.03       1    6.94    0.21       1
 934    4.20    0.30       1    6.27    0.08       1    6.37    0.06       1    6.44    0.06       1    6.32    0.76       1
 935    7.33    0.04       1    7.40    0.01       1    7.42    0.01       1    7.48    0.01       1    7.55    0.09       1
 936   -9.99   -9.99       0   -9.99   -9.99       0    6.46    0.50    1034    6.55    0.56    1004    6.57    0.60    1004
 937    9.49    0.00       1    9.71    0.00       1    9.82    0.00       1    9.92    0.00       1   10.02    0.00       1
 938    6.47    0.07       1    6.60    0.03       1    6.60    0.03       1    6.64    0.03       1    6.80    0.18       1
 939    9.19    0.00       1   10.04    0.00       1   10.16    0.00       1    9.02    0.00       1   10.34    0.00       1
 940    8.98    0.00       1    9.12    0.00       1    9.17    0.00       1    9.26    0.00       1    9.36    0.00       1
 941    7.93    0.00       1    7.99    0.00       1    8.01    0.00       1    8.06    0.00       1    8.09    0.01       1
 942    6.81    1.22    1002    6.68    0.68    1002    6.44    0.50    1034    6.44    0.56    1004    6.46    0.60    1004
 943    5.00    0.20       1    5.65    0.06       1    5.66    0.05       1    5.56    0.08       1    5.85    0.49       1
 944   -9.99   -9.99       0   -9.99   -9.99       0    6.91    0.50    1034    6.95    0.56    1004    6.98    0.60    1004
 945    6.66    1.22    1002    6.51    0.68    1002    6.48    0.50    1034    6.57    0.56    1004    6.59    0.60    1004
 946   -9.99   -9.99       0   -9.99   -9.99       0    6.11    0.50    1034    6.14    0.56    1004    6.14    0.60    1004
 947    5.72    0.62       1    6.14    0.06       1    6.66    0.02       1    6.70    0.02       1    5.93    1.54       1
 948    6.59    0.08       1    6.33    0.04       1    6.40    0.02       1    6.37    0.03       1    6.53    0.19       1
 949    7.34    0.02       1    7.38    0.00       1    7.41    0.00       1    7.48    0.00       1    7.52    0.04       1
 950    8.78    0.00       1    8.84    0.00       1    8.47    0.00       1    8.93    0.00       1    8.99    0.00       1
 951    7.83    0.00       1    7.91    0.00       1    7.97    0.00       1    8.03    0.00       1    8.09    0.01       1
 952    9.68    0.00       1    9.96    0.00       1   10.09    0.00       1   10.21    0.00       1   10.34    0.00       1
 953   -9.99   -9.99       0   -9.99   -9.99       0    5.77    0.50    1034    5.78    0.56    1004    5.78    0.60    1004
 954    6.41    0.08       1    6.73    0.02       1    6.79    0.02       1    6.77    0.02       1    6.80    0.21       1
 955    7.13    0.05       1    7.13    0.02       1    7.13    0.01       1    7.17    0.01       1    7.21    0.13       1
 956   -9.99   -9.99       0   -9.99   -9.99       0    5.91    0.50    1034    6.02    0.56    1004    6.02    0.60    1004
 957    9.12    0.00       1    9.29    0.00       1    9.37    0.00       1    9.46    0.00       1    9.57    0.00       1
 958    6.68    0.05       1    6.66    0.02       1    6.72    0.02       1    6.71    0.02       1    6.85    0.13       1
 959    7.11    0.06       1    6.85    0.02       1    6.89    0.02       1    6.93    0.02       1    7.02    0.15       1
 960    8.35    0.00       1    8.52    0.00       1    8.57    0.00       1    8.63    0.00       1    8.69    0.01       1
 961    7.94    0.01       1    7.99    0.00       1    8.02    0.00       1    8.09    0.00       1    8.17    0.03       1
 962    8.80    0.00       1    8.99    0.00       1    9.08    0.00       1    9.18    0.00       1    9.25    0.00       1
 963   -9.99   -9.99       0   -9.99   -9.99       0    6.28    0.50    1034    6.46    0.56    1004    6.47    0.60    1004
 964    6.45    0.16       1    6.17    0.03       1    6.22    0.03       1    6.25    0.03       1    6.11    0.39       1
 965    8.01    0.01       1    8.04    0.00       1    8.08    0.00       1    8.15    0.00       1    8.18    0.02       1
 966   -9.99   -9.99       0   -9.99   -9.99       0    6.14    0.50    1034    6.13    0.56    1004    6.13    0.60    1004
 967    4.36    0.14       1    5.92    0.06       1    6.02    0.05       1    6.02    0.06       1    6.12    0.36       1
 968    7.27    0.13       1    6.96    0.03       1    6.98    0.03       1    7.06    0.03       1    7.03    0.33       1
 969    8.24    0.00       1    8.31    0.00       1    8.36    0.00       1    8.43    0.00       1    8.47    0.01       1
 970    4.65    0.03       1    4.92    0.20       1    5.08    0.13       1    6.06    0.02       1    6.42    0.08       1
 971    6.45    0.29       1    5.77    0.12       1    5.97    0.07       1    5.94    0.11       1    6.05    0.73       1
 972    5.38    0.34       1    5.56    0.06       1    5.33    0.10       1    4.89    0.35       1    5.43    0.86       1
 973    7.66    0.02       1    7.69    0.00       1    7.72    0.00       1    7.77    0.00       1    7.82    0.04       1
 974   -9.99   -9.99       0   -9.99   -9.99       0    6.00    0.50    1034    6.05    0.56    1004    6.05    0.60    1004
 975    7.20    0.00       1    7.44    0.00       1    7.53    0.00       1    7.63    0.00       1    7.71    0.01       1
 976    7.52    0.17    1002    7.45    0.17    1002    7.40    0.17    1034    7.49    0.19    1004    7.54    0.21    1004
 977    9.23    0.00       1    9.37    0.00       1    9.43    0.00       1    9.55    0.00       1    9.63    0.00       1
 978    6.33    0.35       1    6.38    0.05       1    6.46    0.04       1    6.55    0.05       1    6.33    0.88       1
 979    5.25    0.18       1    5.48    0.06       1    5.07    0.12       1    5.40    0.07       1    5.38    0.45       1
 980    4.85    0.38       1    4.93    0.20       1    4.91    0.20       1    5.51    0.07       1    5.02    0.95       1
 981    6.89    0.10       1    6.67    0.02       1    6.76    0.02       1    6.75    0.02       1    6.56    0.24       1
 982    5.46    0.32       1    5.31    0.11       1    5.27    0.10       1    5.15    0.18       1    5.23    0.81       1
 983    6.52    0.06       1    6.58    0.02       1    6.52    0.02       1    6.55    0.02       1    6.57    0.15       1
 984    6.81    0.09       1    6.96    0.02       1    6.95    0.02       1    7.13    0.01       1    6.92    0.22       1
 985   -9.99   -9.99       0   -9.99   -9.99       0    5.83    0.50    1034    5.90    0.56    1004    5.90    0.60    1004
 986    6.41    0.12       1    6.22    0.06       1    6.17    0.06       1    6.17    0.07       1    6.47    0.30       1
 987    5.80    0.10       1    6.41    0.03       1    6.37    0.03       1    6.42    0.04       1    6.53    0.26       1
 988    9.31    0.00       1    9.50    0.00       1    9.60    0.00       1    9.70    0.00       1    9.79    0.00       1
 989    7.98    0.00       1    8.24    0.00       1    8.34    0.00       1    8.46    0.00       1    8.55    0.01       1
 990    6.91    0.45       1    6.19    0.20       1    7.04    0.02       1    5.88    0.44       1    6.50    1.12       1
 991    5.59    0.10       1    6.23    0.09       1    6.39    0.06       1    6.37    0.08       1    6.78    0.26       1
 992    6.11    0.06       1    6.30    0.02       1    6.32    0.02       1    6.38    0.02       1    6.45    0.16       1
 993    4.28    0.16       1    6.13    0.06       1    5.99    0.08       1    6.07    0.09       1    6.42    0.41       1
 994    5.30    0.07       1    5.38    0.07       1    5.67    0.04       1    5.87    0.02       1    5.95    0.18       1
 995    9.82    0.17    1012   10.01    0.17    1012   10.15    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 996    6.43    0.34       1    6.47    0.02       1    6.46    0.02       1    6.44    0.03       1    6.03    0.86       1
 997    9.40    0.00       1    9.65    0.00       1    9.78    0.00       1    9.91    0.00       1    9.99    0.00       1
 998    5.69    0.15       1    5.94    0.06       1    6.13    0.04       1    5.93    0.07       1    6.10    0.37       1
 999    8.04    0.00       1    8.07    0.00       1    8.14    0.00       1    8.21    0.00       1    8.24    0.01       1
1000   -9.99   -9.99       0   -9.99   -9.99       0    5.89    0.50    1034    5.98    0.56    1004    5.98    0.60    1004
1001    5.38    0.17       1    5.06    0.16       1    5.43    0.06       1    5.31    0.10       1    5.65    0.43       1
1002    8.13    0.00       1    8.24    0.00       1    8.31    0.00       1    8.40    0.00       1    8.47    0.01       1
1003    9.03    0.00       1    9.25    0.00       1    9.35    0.00       1    9.47    0.00       1    9.55    0.00       1
1004    6.89    0.04       1    6.81    0.02       1    6.86    0.02       1    6.91    0.01       1    7.02    0.11       1
1005    8.62    0.00       1    8.70    0.00       1    8.75    0.00       1    8.83    0.00       1    8.87    0.00       1
1006    7.47    0.02       1    7.50    0.00       1    7.50    0.00       1    7.55    0.01       1    7.59    0.06       1
1007    7.45    0.06       1    7.30    0.00       1    7.20    0.01       1    7.17    0.02       1    7.11    0.15       1
1008    8.55    0.00       1    8.77    0.00       1    8.90    0.00       1    9.01    0.00       1    9.11    0.00       1
1009    5.33    0.23       1    6.09    0.04       1    6.04    0.04       1    6.03    0.04       1    5.91    0.57       1
1010    4.16    0.56       1    6.41    0.05       1    6.31    0.05       1    6.50    0.04       1    5.88    1.40       1
1011    7.89    0.00       1    8.12    0.00       1    8.28    0.00       1    8.38    0.00       1    8.49    0.00       1
1012    7.56    0.01       1    7.88    0.00       1    7.92    0.00       1    8.00    0.00       1    8.07    0.02       1
1013   -9.99   -9.99       0   -9.99   -9.99       0    5.82    0.50    1034    5.89    0.56    1004    5.88    0.60    1004
1014    7.14    0.08       1    7.08    0.02       1    7.12    0.02       1    7.17    0.02       1    6.96    0.21       1
1015    7.16    0.03       1    7.21    0.01       1    7.24    0.01       1    7.31    0.01       1    7.30    0.07       1
1016   -9.99   -9.99       0   -9.99   -9.99       0    5.72    0.50    1034    5.81    0.56    1004    5.80    0.60    1004
1017    3.99    0.80       1    5.73    0.08       1    5.33    0.20       1    4.82    0.76       1    5.39    1.99       1
1018    6.78    0.05       1    6.78    0.02       1    6.77    0.02       1    6.79    0.03       1    6.91    0.12       1
1019   10.02    0.00       1   10.33    0.00       1   10.47    0.00       1   10.61    0.00       1   10.69    0.00       1
1020    6.76    0.02       1    6.70    0.01       1    6.72    0.00       1    6.77    0.01       1    6.80    0.04       1
1021   -9.99   -9.99       0   -9.99   -9.99       0    6.51    0.50    1034    6.45    0.56    1004    6.46    0.60    1004
1022    9.86    0.00       1   10.06    0.00       1   10.22    0.00       1   10.35    0.00       1   10.39    0.00       1
1023    9.41    0.00       1    9.64    0.00       1    9.76    0.00       1    9.85    0.00       1    9.94    0.00       1
1024    6.52    0.31       1    5.83    0.24       1    6.20    0.10       1    6.22    0.08       1    6.48    0.78       1
1025    6.44    0.10       1    6.52    0.03       1    6.61    0.02       1    6.63    0.03       1    6.60    0.24       1
1026    9.45    0.00       1    9.56    0.00       1    9.64    0.00       1    9.73    0.00       1    9.82    0.00       1
1027    5.12    0.31       1    5.27    0.10       1    5.20    0.10       1    5.57    0.06       1    5.15    0.78       1
1028    4.87    0.36       1    5.50    0.12       1    5.87    0.06       1    5.84    0.08       1    5.80    0.89       1
1029    9.92    0.00       1   10.14    0.00       1   10.29    0.00       1   10.41    0.00       1   10.52    0.00       1
1030    5.87    0.13       1    5.77    0.04       1    5.76    0.04       1    5.79    0.04       1    5.93    0.32       1
1031    8.83    0.00       1    8.92    0.00       1    9.00    0.00       1    9.09    0.00       1    9.17    0.01       1
1032    7.63    0.02       1    7.67    0.00       1    7.71    0.00       1    7.73    0.00       1    7.79    0.04       1
1033    6.39    0.20       1    6.25    0.03       1    6.23    0.04       1    6.28    0.03       1    6.03    0.51       1
1034   -9.99   -9.99       0   -9.99   -9.99       0    6.30    0.50    1034    6.47    0.56    1004    6.49    0.60    1004
1035    9.26    0.00       1    9.37    0.00       1    9.45    0.00       1    9.54    0.00       1    9.60    0.00       1
1036    6.32    0.11       1    5.75    0.18       1    6.55    0.02       1    5.76    0.23       1    6.72    0.28       1
1037    5.10    0.26       1    4.84    0.20       1    4.84    0.17       1    5.44    0.06       1    5.15    0.65       1
1038    7.12    0.17    1002    7.01    0.17    1002    6.57    0.50    1034    6.66    0.56    1004    6.68    0.60    1004
1039    9.33    0.00       1    9.56    0.00       1    9.68    0.00       1    9.81    0.00       1    9.94    0.00       1
1040    6.01    1.82       1    5.48    0.42       1    6.42    0.04       1    5.08    1.29       1    5.55    4.56       1
1041    7.04    0.17    1002    6.93    0.68    1002    6.70    0.50    1034    6.85    0.56    1004    6.88    0.60    1004
1042    9.23    0.00       1    9.42    0.00       1    9.52    0.00       1    9.62    0.00       1    9.73    0.00       1
1043    6.66    0.08       1    6.42    0.04       1    6.38    0.04       1    6.43    0.05       1    6.73    0.20       1
1044    5.40    0.30       1    5.19    0.12       1    5.13    0.13       1    5.57    0.06       1    5.21    0.74       1
1045    6.71    0.12       1    6.48    0.03       1    6.47    0.02       1    6.51    0.03       1    6.45    0.31       1
1046   -9.99   -9.99       0   -9.99   -9.99       0    6.47    0.50    1034    6.58    0.56    1004    6.60    0.60    1004
1047    8.63    0.00       1    8.90    0.00       1    9.02    0.00       1    9.14    0.00       1    9.26    0.00       1
1048   -9.99   -9.99       0   -9.99   -9.99       0    6.10    0.50    1034    6.16    0.56    1004    6.17    0.60    1004
1049    4.95    1.04       1    6.44    0.05       1    5.97    0.15       1    6.65    0.04       1    4.58    2.61       1
1050    6.93    1.22    1002    6.81    0.68    1002    6.91    0.50    1034    7.01    0.19    1004    7.04    0.21    1004
1051    7.78    0.02       1    7.53    0.00       1    7.42    0.00       1    7.40    0.00       1    7.40    0.05       1
1052   -9.99   -9.99       0   -9.99   -9.99       0    5.88    0.50    1034    5.87    0.56    1004    5.86    0.60    1004
1053    9.18    0.00       1    9.27    0.00       1    9.33    0.00       1    9.40    0.00       1    9.49    0.00       1
1054   -9.99   -9.99       0   -9.99   -9.99       0    6.81    0.50    1034    6.92    0.56    1004    6.95    0.60    1004
1055    9.15    0.00       1    9.37    0.00       1    9.49    0.00       1    9.59    0.00       1    9.70    0.00       1
1056    8.25    0.00       1    8.32    0.00       1    8.38    0.00       1    8.46    0.00       1    8.53    0.01       1
1057    4.80    0.10       1    6.55    0.03       1    6.52    0.02       1    6.62    0.02       1    6.46    0.26       1
1058    8.06    0.17    1012    8.11    0.17    1012    7.46    0.17    1034    7.41    0.19    1004    7.46    0.21    1004
1059    6.48    0.28       1    6.12    0.08       1    6.39    0.04       1    6.23    0.08       1    6.27    0.70       1
1060    7.62    0.01       1    7.68    0.01       1    7.73    0.01       1    7.76    0.00       1    7.81    0.03       1
1061    7.32    0.02       1    7.25    0.01       1    7.28    0.00       1    7.31    0.01       1    7.35    0.05       1
1062   10.45    0.17    1012   10.70    0.17    1012   10.87    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
1063    6.64    0.10       1    6.54    0.03       1    6.58    0.02       1    6.65    0.03       1    6.68    0.26       1
1064    9.11    0.00       1    9.31    0.00       1    9.39    0.00       1    9.48    0.00       1    9.57    0.00       1
1065    9.16    0.00       1    9.67    0.00       1    9.70    0.00       1    9.75    0.00       1    9.65    0.00       1
1066   -9.99   -9.99       0   -9.99   -9.99       0    6.00    0.50    1034    5.98    0.56    1004    5.98    0.60    1004
1067    8.36    0.00       1    8.48    0.00       1    8.57    0.00       1    8.65    0.00       1    8.72    0.01       1
1068    6.56    0.12       1    6.26    0.04       1    6.32    0.04       1    6.39    0.03       1    6.39    0.30       1
1069    7.96    0.00       1    7.97    0.00       1    7.99    0.00       1    8.06    0.00       1    8.08    0.01       1
1070    7.58    0.02       1    7.66    0.00       1    7.70    0.00       1    7.74    0.01       1    7.81    0.04       1
1071    6.78    0.50       1    6.39    0.06       1    6.95    0.02       1    6.41    0.08       1    6.23    1.24       1
1072    8.41    0.00       1    8.51    0.00       1    8.55    0.00       1    8.63    0.00       1    8.69    0.01       1
1073    9.95    0.17    1012   10.15    0.17    1012   10.24    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
1074    8.07    0.00       1    8.10    0.00       1    8.16    0.00       1    8.22    0.00       1    8.27    0.01       1
1075    8.27    0.00       1    8.45    0.00       1    8.51    0.00       1    8.59    0.00       1    8.64    0.01       1
1076    7.71    0.01       1    7.80    0.00       1    7.83    0.00       1    7.89    0.00       1    7.94    0.03       1
1077    7.38    0.03       1    7.27    0.01       1    7.33    0.01       1    7.39    0.01       1    7.50    0.07       1
1078    8.59    0.00       1    8.79    0.00       1    8.87    0.00       1    8.95    0.00       1    9.01    0.01       1
1079    5.95    1.31       1    7.06    0.01       1    6.76    0.02       1    6.78    0.03       1    4.65    3.27       1
1080    9.44    0.00       1    9.70    0.00       1    9.83    0.00       1    9.94    0.00       1   10.07    0.00       1
1081    6.94    0.03       1    7.51    0.01       1    7.55    0.00       1    7.55    0.01       1    7.55    0.07       1
1082    6.29    0.12       1    6.71    0.02       1    6.85    0.02       1    6.77    0.03       1    6.71    0.31       1
1083    8.96    0.00       1    9.10    0.00       1    9.14    0.00       1    9.23    0.00       1    9.32    0.00       1
1084    8.63    0.00       1    8.73    0.00       1    8.80    0.00       1    8.88    0.00       1    8.93    0.01       1
1085    8.70    0.00       1    8.82    0.00       1    8.89    0.00       1    8.98    0.00       1    9.06    0.00       1
1086    8.85    0.17    1012    8.96    0.17    1012    8.93    0.17    1034    9.01    0.19    1004    9.11    0.21    1004
1087    6.29    0.12       1    6.71    0.02       1    6.85    0.02       1    6.77    0.03       1    6.71    0.31       1
1088    8.74    0.00       1    8.88    0.00       1    8.97    0.00       1    9.07    0.00       1    9.14    0.00       1
1089    9.83    0.00       1   10.08    0.00       1   10.22    0.00       1   10.36    0.00       1   10.48    0.00       1
1090    5.64    0.06       1    7.05    0.01       1    7.05    0.01       1    7.06    0.01       1    6.92    0.16       1
1091    9.22    0.00       1    9.36    0.00       1    9.45    0.00       1    9.55    0.00       1    9.62    0.00       1
1092    8.58    0.00       1    8.66    0.00       1    8.60    0.00       1    8.67    0.00       1    8.70    0.01       1
1093    8.23    0.01       1    8.28    0.00       1    8.33    0.00       1    8.39    0.00       1    8.41    0.02       1
1094   -9.99   -9.99       0   -9.99   -9.99       0   10.81    0.17    1034   11.07    0.19    1004   11.23    0.21    1004
1095    8.92    0.00       1    8.84    0.00       1    8.78    0.00       1    8.80    0.00       1    8.84    0.01       1
1096    8.45    0.00       1    8.45    0.00       1    8.48    0.00       1    8.54    0.00       1    8.59    0.01       1
1097    8.80    0.00       1    8.94    0.00       1    9.01    0.00       1    9.11    0.00       1    9.19    0.00       1
1098    9.92    0.00       1   10.18    0.00       1   10.33    0.00       1    9.22    0.01       1   10.57    0.00       1
1099    9.36    0.00       1    9.53    0.00       1    9.62    0.00       1    9.73    0.00       1    9.83    0.00       1
1100    8.00    0.01       1    8.06    0.00       1    8.13    0.00       1    8.21    0.00       1    8.21    0.02       1
1101    8.63    0.00       1    8.76    0.00       1    8.86    0.00       1    8.95    0.00       1    9.05    0.00       1
1102    8.66    0.00       1    8.77    0.00       1    8.85    0.00       1    8.93    0.00       1    9.04    0.00       1
1103    8.05    0.01       1    8.13    0.00       1    8.18    0.00       1    8.24    0.01       1    8.29    0.03       1
1104    9.91    0.17    1012   10.10    0.17    1012   10.25    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
1105    9.41    0.00       1    9.62    0.00       1    9.73    0.00       1    9.84    0.00       1    9.92    0.00       1
1106    8.28    0.00       1    8.48    0.00       1    8.58    0.00       1    8.69    0.00       1    8.79    0.00       1
1107    9.33    0.00       1    9.57    0.00       1    9.67    0.00       1    9.77    0.00       1    9.91    0.00       1
1108   10.02    0.17    1012   10.23    0.17    1012   10.41    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
1109    8.04    0.01       1    8.10    0.00       1    8.18    0.00       1    8.26    0.00       1    8.31    0.02       1
1110    9.57    0.00       1    9.82    0.00       1    9.94    0.00       1   10.07    0.00       1   10.14    0.00       1
1111    8.48    0.00       1    8.71    0.00       1    8.72    0.00       1    8.89    0.00       1    8.99    0.00       1
1112    9.60    0.00       1    9.84    0.00       1    9.96    0.00       1   10.09    0.00       1   10.19    0.00       1
1113    8.45    0.00       1    8.45    0.00       1    8.41    0.00       1    8.47    0.00       1    8.54    0.01       1
1114   10.25    0.17    1002   10.44    0.17    1002   10.55    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
