SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
  94    9.83    0.00       1   10.02    0.00       1   10.14    0.00       1   10.24    0.00       1   10.32    0.00       1
  95    9.60    0.00       1    9.86    0.00       1    9.98    0.00       1   10.09    0.00       1   10.22    0.00       1
  96    9.65    0.00       1    9.87    0.00       1   10.00    0.00       1   10.10    0.00       1   10.22    0.00       1
  97    9.54    0.00       1    9.69    0.00       1    9.76    0.00       1    9.85    0.00       1    9.97    0.00       1
  98    9.60    0.00       1    9.60    0.00       1    9.60    0.00       1    9.63    0.00       1    9.72    0.00       1
  99    9.36    0.00       1    9.54    0.00       1    9.66    0.00       1    9.76    0.00       1    9.87    0.00       1
 100    9.95    0.00       1   10.20    0.00       1   10.36    0.00       1   10.49    0.00       1   10.63    0.00       1
 101    9.52    0.00       1    9.70    0.00       1    9.81    0.00       1    9.91    0.00       1   10.04    0.00       1
 102    9.93    0.00       1   10.17    0.00       1   10.29    0.00       1   10.41    0.00       1   10.51    0.00       1
 103   10.16    0.00       1   10.42    0.00       1   10.61    0.00       1   10.74    0.00       1   10.89    0.00       1
 104    9.31    0.00       1    9.48    0.00       1    9.59    0.00       1    9.69    0.00       1    9.81    0.00       1
 105   10.08    0.00       1   10.35    0.00       1   10.51    0.00       1   10.63    0.00       1   10.77    0.00       1
 106    9.11    0.00       1    9.31    0.00       1    9.42    0.00       1    9.52    0.00       1    9.62    0.00       1
 107   10.34    0.00       1   10.59    0.00       1   10.74    0.00       1   10.85    0.00       1   10.95    0.00       1
 108    9.19    0.00       1    9.38    0.00       1    9.49    0.00       1    9.58    0.00       1    9.70    0.01       1
 109    9.81    0.00       1   10.09    0.00       1   10.26    0.00       1   10.35    0.00       1   10.52    0.01       1
 110   10.40    0.00       1   10.65    0.00       1   10.79    0.00       1   10.90    0.00       1   11.00    0.00       1
 111    9.78    0.00       1   10.01    0.00       1   10.18    0.00       1   10.31    0.00       1   10.47    0.00       1
 112    9.60    0.00       1    9.68    0.00       1    9.79    0.00       1    9.88    0.00       1   10.01    0.00       1
 113    6.56    1.22    1002    6.41    0.68    1002    6.44    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 114    4.67    1.22    1002    4.33    0.68    1002    4.38    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 115    9.95    0.00       1   10.19    0.00       1   10.31    0.00       1    9.29    0.01       1   10.53    0.00       1
