Standard-system colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (12) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (U-B)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (U-B). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (U-B) and its uncertainty.
Column 5: The (B-V)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (B-V). The uncertainty, if available, comes from the same source as (B-V) itself.
Column 7: The sources for (B-V) and its uncertainty.
Column 8: The (V-I)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (V-I). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(V-I)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------
  id   (U-B)  d(U-B)       s.  (B-V)  d(B-V)       s.  (V-I)  d(V-I)       s.
       [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------
 133   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 134   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 135   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 136   -0.21   -9.99       1    0.46   -9.99       1   -9.99   -9.99       0
 137   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 138   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 139   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 140   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 141   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 142   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 143    0.52   -9.99       1    0.86   -9.99       1   -9.99   -9.99       0
 144   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 145   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 146   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 147   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 148    0.35   -9.99       1    0.84   -9.99       1   -9.99   -9.99       0
 149   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 150    0.46   -9.99       1    0.95   -9.99       1   -9.99   -9.99       0
 151   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 152   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 153   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 154   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 155   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 156   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 157    0.38   -9.99       1    0.81   -9.99       1   -9.99   -9.99       0
 158   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 159   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 160    0.27   -9.99       1    0.69   -9.99       1   -9.99   -9.99       0
 161   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 162   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 163   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 164   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 165   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 166   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 167   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 168   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 169   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 170   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 171    0.48   -9.99       1    0.97   -9.99       1   -9.99   -9.99       0
 172   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 173   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 174    0.51   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 175    0.58   -9.99       1    0.95   -9.99       1   -9.99   -9.99       0
 176   -9.99   -9.99       0    0.87   -9.99       1   -9.99   -9.99       0
 177   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 178    0.51   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 179   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 180    0.47   -9.99       1    0.91   -9.99       1   -9.99   -9.99       0
 181    0.41   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 182   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 183   -0.18   -9.99       1    0.50   -9.99       1   -9.99   -9.99       0
 184    0.28   -9.99       1    0.77   -9.99       1   -9.99   -9.99       0
 185   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 186    0.42   -9.99       1    0.79   -9.99       1   -9.99   -9.99       0
 187   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 188   -9.99   -9.99       0    0.81   -9.99       1    1.44   -9.99       4
 189   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 190   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 191   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 192   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 193   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 194   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 195   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 196   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 197   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 198   -9.99   -9.99       0    0.84   -9.99       3    1.11   -9.99       4
 199   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 200   -9.99   -9.99       0    0.79   -9.99       3   -2.36   -9.99       4
 201    0.24   -9.99       1    0.81   -9.99       1   -9.99   -9.99       0
 202   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 203   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 204   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 205   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 206   -9.99   -9.99       0    0.71   -9.99       3    1.56   -9.99       3
 207    0.28   -9.99       1    0.73   -9.99       1    1.12   -9.99       4
 208   -9.99   -9.99       0    0.72   -9.99       3    1.15   -9.99       3
 209   -9.99   -9.99       0    0.62   -9.99       3    0.89   -9.99       3
 210   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 211   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 212   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 213    0.47   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 214   -9.99   -9.99       0    0.79   -9.99       3    0.93   -9.99       3
 215   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 216   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 217   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 218   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 219   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 220   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 221   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 222   -9.99   -9.99       0    0.81   -9.99       3    1.06   -9.99       3
 223    0.34   -9.99       1    0.84   -9.99       1    1.22   -9.99       3
 224   -9.99   -9.99       0    0.77   -9.99       3    1.02   -9.99       3
 225   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 226   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 227   -9.99   -9.99       0    0.62   -9.99       3    1.01   -9.99       3
 228   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 229   -9.99   -9.99       0    0.81   -9.99       3    1.83   -9.99       3
 230   -9.99   -9.99       0    0.87   -9.99       3    1.15   -9.99       3
 231   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 232   -9.99   -9.99       0    0.82   -9.99       3    0.83   -9.99       3
 233   -9.99   -9.99       0    0.60   -9.99       3   -9.99   -9.99       0
 234   -9.99   -9.99       0    0.88   -9.99       3    1.12   -9.99       3
 235   -9.99   -9.99       0   -9.99   -9.99       0    1.43   -9.99       3
 236   -9.99   -9.99       0   -0.48   -9.99       3    1.40   -9.99       3
 237   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 238   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 239   -9.99   -9.99       0    0.96   -9.99       3    1.11   -9.99       3
 240   -9.99   -9.99       0   -0.27   -9.99       3    0.98   -9.99       3
 241   -9.99   -9.99       0    0.69   -9.99       3    1.42   -9.99       3
 242   -9.99   -9.99       0    0.61   -9.99       3    0.93   -9.99       3
 243   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 244   -9.99   -9.99       0    0.67   -9.99       3    1.05   -9.99       3
 245   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 246   -9.99   -9.99       0    0.85   -9.99       3    0.81   -9.99       3
 247   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 248   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 249   -9.99   -9.99       0    0.86   -9.99       3    1.65   -9.99       3
 250   -9.99   -9.99       0    0.94   -9.99       3    0.86   -9.99       3
 251   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 252   -9.99   -9.99       0    0.86   -9.99       3    1.03   -9.99       3
 253   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 254   -9.99   -9.99       0    0.87   -9.99       3    1.11   -9.99       3
 255   -9.99   -9.99       0    0.72   -9.99       3   -4.05   -9.99       4
 256   -9.99   -9.99       0    0.88   -9.99       3    1.09   -9.99       3
 257   -9.99   -9.99       0    0.13   -9.99       3    0.82   -9.99       3
 258   -9.99   -9.99       0    0.76   -9.99       3    1.45   -9.99       3
 259   -9.99   -9.99       0    1.28   -9.99       3    1.18   -9.99       3
 260    0.31   -9.99       1    0.83   -9.99       1    1.17   -9.99       3
 261   -9.99   -9.99       0    0.99   -9.99       3    0.98   -9.99       3
 262   -9.99   -9.99       0   -9.99   -9.99       0    1.04    0.07       4
 263    0.45   -9.99       1    0.89   -9.99       1    1.23   -9.99       3
 264   -9.99   -9.99       0    1.07   -9.99       3    1.21   -9.99       4
 265   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 266   -9.99   -9.99       0    0.46   -9.99       3    1.20   -9.99       3
 267   -9.99   -9.99       0   -9.99   -9.99       0    1.06    0.03       4
 268    0.42   -9.99       1    0.88   -9.99       1    1.25   -9.99       4
 269   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 270   -9.99   -9.99       0    0.84   -9.99       3    0.97   -9.99       3
 271   -9.99   -9.99       0    1.32   -9.99       3    1.12   -9.99       3
 272   -9.99   -9.99       0    0.82   -9.99       3    1.05   -9.99       3
 273   -9.99   -9.99       0    0.74   -9.99       3    0.86   -9.99       3
 274   -9.99   -9.99       0    1.25   -9.99       3    0.97   -9.99       3
 275    0.37   -9.99       1    0.87   -9.99       1   -9.99   -9.99       0
 276   -9.99   -9.99       0    0.82   -9.99       3    1.09   -9.99       3
 277   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 278   -9.99   -9.99       0    0.66   -9.99       3    1.08   -9.99       3
 279   -9.99   -9.99       0    0.66   -9.99       3    0.99   -9.99       3
 280    0.42   -9.99       1    0.88   -9.99       1    1.24   -9.99       4
 281   -9.99   -9.99       0    0.51   -9.99       3    1.43   -9.99       3
 282    0.26   -9.99       1    0.82   -9.99       1    1.18   -9.99       4
 283   -9.99   -9.99       0    1.18   -9.99       3    1.28   -9.99       3
 284   -9.99   -9.99       0    1.01   -9.99       3    1.07   -9.99       3
 285   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 286   -9.99   -9.99       0    0.89   -9.99       1    1.17   -9.99       4
 287   -9.99   -9.99       0    0.84   -9.99       3    1.07   -9.99       3
 288   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 289   -9.99   -9.99       0    0.59   -9.99       3    1.15   -9.99       3
 290   -9.99   -9.99       0    0.50   -9.99       3    0.97   -9.99       3
 291   -9.99   -9.99       0    0.87   -9.99       3    1.14   -9.99       3
 292    0.49   -9.99       1    0.96   -9.99       1    1.28   -9.99       3
 293   -9.99   -9.99       0   -9.99   -9.99       0    1.24   -9.99       3
 294   -9.99   -9.99       0    0.54   -9.99       3    1.90   -9.99       3
 295   -9.99   -9.99       0    0.72   -9.99       3    0.01   -9.99       3
 296    0.25   -9.99       1    0.91   -9.99       1    1.18   -9.99       3
 297   -9.99   -9.99       0    0.91   -9.99       3    1.21   -9.99       3
 298   -9.99   -9.99       0   -9.99   -9.99       0    1.06    0.19       4
 299    0.36   -9.99       1    0.89   -9.99       1    1.23   -9.99       3
 300   -9.99   -9.99       0    0.32   -9.99       3    1.05    0.04       4
 301   -9.99   -9.99       0    0.75   -9.99       3    1.15   -9.99       3
 302   -9.99   -9.99       0    0.61   -9.99       3    0.99   -9.99       3
 303   -9.99   -9.99       0    0.79   -9.99       3    0.38   -9.99       3
 304   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 305   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 306   -9.99   -9.99       0    0.51   -9.99       3    1.12   -9.99       3
 307   -9.99   -9.99       0   -2.39   -9.99       3   -9.99   -9.99       0
 308   -9.99   -9.99       0    0.49   -9.99       3    0.91   -9.99       3
 309   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 310   -9.99   -9.99       0    0.56   -9.99       3    0.95   -9.99       4
 311   -9.99   -9.99       0    0.25   -9.99       3    0.94   -9.99       3
 312   -9.99   -9.99       0    0.34   -9.99       3    4.55   -9.99       3
 313   -9.99   -9.99       0    0.74   -9.99       3    1.04   -9.99       3
 314    0.50   -9.99       1    0.93   -9.99       1   -9.99   -9.99       0
 315   -9.99   -9.99       0    0.25   -9.99       3    1.37   -9.99       3
 316    0.56   -9.99       1    0.92   -9.99       1   -9.99   -9.99       0
 317   -9.99   -9.99       0    0.51   -9.99       3    0.83   -9.99       3
 318   -9.99   -9.99       0    0.53   -9.99       3    1.08   -9.99       3
 319   -9.99   -9.99       0    1.27   -9.99       3    1.67   -9.99       3
 320    0.56   -9.99       1    0.94   -9.99       1   -9.99   -9.99       0
 321   -9.99   -9.99       0    0.62   -9.99       3    0.96   -9.99       3
 322   -9.99   -9.99       0    1.48   -9.99       3    1.16   -9.99       3
