SDSS colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (13) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (u-g)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (u-g). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (u-g) and its uncertainty.
Column 5: The (g-r)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (g-r). The uncertainty, if available, comes from the same source as (g-r) itself.
Column 7: The sources for (g-r) and its uncertainty.
Column 8: The (g-i)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (g-i). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(g-i)$ and its uncertainty.
Column 11: The (g-z)-colour of the galaxy, corrected for extinction and redshift. 
Column 12: The uncertainty of (g-z). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 13: The sources for $(g-z)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   (u-g)  d(u-g)       s.  (g-r)  d(g-r)       s.  (g-i)  d(g-i)       s.  (g-z)  d(g-z)       s.
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 521   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 522   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 523   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 524   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 525   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 526   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 527   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 528   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 529   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 530   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 531   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 532   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 533   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 534   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 535   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 536   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 537   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 538   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 539   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 540   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 541   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 542   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 543   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 544   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 545   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 546   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 547   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 548   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 549   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 550   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 551   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 552   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 553   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 554   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 555   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 556   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 557   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 558   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 559   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 560   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 561   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 562   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 563   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 564   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 565   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 566   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 567   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 568   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 569   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 570   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 571   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 572   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 573   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 574   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 575   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 576   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 577   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 578   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 579   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 580   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 581   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 582   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 583   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 584   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 585   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 586   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 587   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 588   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 589   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 590   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 591   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 592   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 593   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 594   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 595   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 596   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 597   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 598   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 599   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 600   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 601    1.68    0.00       1    0.74    0.00       1    1.10    0.00       1    1.33    0.00       1
 602   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 603   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 604   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 605   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 606   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 607   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 608   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 609   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 610   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 611   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 612   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 613   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 614   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 615   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 616   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 617   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 618   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 619   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 620   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 621   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 622   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 623   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 624   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 625   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 626   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 627   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 628   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 629   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 630   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 631   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 632   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 633   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 634    1.86    0.00       1    0.77    0.00       1   -2.23    0.01       1    1.48    0.00       1
 635    1.95    0.00       1    0.71    0.00       1   -4.73    0.36       1    1.35    0.00       1
 636   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 637    1.67    0.01       1    0.69    0.00       1    1.07    0.00       1    1.36    0.00       1
 638    1.83    0.00       1    0.70    0.00       1    1.04    0.00       1    1.28    0.00       1
 639    1.92    0.00       1    0.77    0.00       1    1.18    0.00       1    1.53    0.01       1
 640    1.63    0.00       1    0.67    0.00       1    1.03    0.00       1    1.29    0.00       1
 641    1.83    0.00       1    0.79    0.00       1    1.19    0.00       1    1.45    0.00       1
 642    1.82    0.01       1    0.78    0.00       1    1.14    0.00       1    1.46    0.00       1
 643    1.72    0.00       1    0.79    0.01       1    1.11    0.01       1    1.34    0.00       1
 644    1.76    0.01       1    0.84    0.00       1    1.26    0.00       1    1.58    0.00       1
 645    1.66    0.01       1    0.74    0.00       1    1.06    0.00       1    1.27    0.00       1
 646    1.47    0.01       1    0.73    0.00       1    1.10    0.00       1    1.39    0.00       1
 647    1.70    0.01       1    0.72    0.00       1    1.09    0.00       1    1.35    0.00       1
 648   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 649    1.21    0.01       1    0.72    0.00       1    1.04    0.00       1    1.37    0.00       1
 650   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 651    1.80    0.00       1    0.77    0.00       1    1.13    0.00       1    1.41    0.00       1
 652    1.65    0.00       1    0.69    0.00       1    1.02    0.00       1    1.23    0.00       1
 653   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 654   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 655   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 656    1.99    0.00       1    0.68    0.00       1    1.03    0.00       1    1.24    0.00       1
 657    1.84    0.00       1    0.80    0.00       1    1.17    0.00       1    1.46    0.00       1
 658    2.02    0.00       1    0.86    0.00       1    1.30    0.00       1    1.54    0.00       1
 659    1.59    0.00       1    0.72    0.00       1    1.20    0.01       1    1.27    0.00       1
 660    1.84    0.00       1    0.80    0.00       1    1.21    0.00       1    1.45    0.00       1
 661    1.72    0.00       1    0.82    0.00       1    1.23    0.00       1    1.48    0.00       1
 662    1.74    0.00       1    0.81    0.00       1    1.22    0.00       1    1.47    0.00       1
 663    1.88    0.00       1    0.79    0.00       1    1.19    0.00       1    1.47    0.00       1
 664    1.83    0.00       1    0.77    0.00       1    1.14    0.00       1    1.40    0.00       1
 665    1.86    0.00       1    0.83    0.00       1    1.25    0.00       1    1.59    0.00       1
 666    1.88    0.00       1    0.78    0.00       1    1.22    0.00       1    1.52    0.00       1
 667    1.28    0.00       1    0.68    0.00       1    0.98    0.00       1    1.26    0.00       1
 668   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 669   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 670    1.74    0.01       1    0.72    0.00       1    1.06    0.00       1    1.30    0.00       1
 671    1.69    0.01       1    0.72    0.00       1    1.04    0.00       1    1.35    0.00       1
 672    1.80    0.01       1    0.79    0.00       1    1.12    0.00       1    1.45    0.00       1
 673    1.77    0.00       1    0.78    0.00       1    1.14    0.00       1    1.34    0.00       1
 674    1.76    0.02       1    0.77    0.00       1    1.09    0.00       1    1.44    0.00       1
 675    1.49    0.01       1    0.65    0.00       1    0.96    0.00       1    1.22    0.00       1
 676    1.96    0.01       1    0.82    0.00       1    1.23    0.00       1    1.53    0.00       1
 677    1.55    0.01       1    0.77    0.00       1    1.15    0.00       1    1.45    0.00       1
 678    1.59    0.00       1    0.68    0.00       1    1.03    0.00       1    1.23    0.00       1
 679    1.93    0.01       1    0.87    0.00       1    1.27    0.00       1    1.58    0.00       1
 680    1.72    0.02       1    0.76    0.00       1    1.10    0.00       1    1.40    0.01       1
 681    1.89    0.01       1    0.80    0.00       1    1.17    0.00       1    1.49    0.00       1
 682    1.81    0.01       1    0.75    0.00       1    1.10    0.00       1    1.37    0.00       1
 683    1.71    0.02       1    0.78    0.00       1    1.11    0.00       1    1.41    0.01       1
 684   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 685    1.53    0.03       1    0.71    0.01       1    1.01    0.01       1    1.28    0.01       1
 686    1.86    0.01       1    0.89    0.00       1    1.22    0.00       1    1.56    0.00       1
 687    1.77    0.02       1    0.80    0.00       1    1.14    0.00       1    1.43    0.01       1
 688    1.75    0.03       1    0.75    0.00       1    1.08    0.00       1    1.39    0.01       1
 689    1.77    0.01       1    0.80    0.00       1    1.16    0.00       1    1.51    0.00       1
 690    1.86    0.02       1    0.77    0.00       1    1.10    0.00       1    1.42    0.01       1
 691    1.91    0.01       1    0.82    0.00       1    1.23    0.00       1    1.51    0.00       1
 692    1.78    0.01       1    0.77    0.00       1    1.10    0.00       1    1.42    0.00       1
 693    1.72    0.03       1    0.75    0.00       1    1.05    0.00       1    1.35    0.01       1
 694    1.77    0.01       1    0.80    0.00       1    1.15    0.00       1    1.45    0.00       1
 695    1.88    0.01       1    0.81    0.00       1    1.16    0.00       1    1.50    0.00       1
 696    1.73    0.03       1    0.72    0.00       1    1.02    0.00       1    1.33    0.01       1
 697    1.84    0.01       1    0.79    0.00       1    1.12    0.00       1    1.40    0.00       1
 698    1.73    0.01       1    0.78    0.00       1    1.13    0.00       1    1.49    0.00       1
 699    1.65    0.02       1    0.75    0.00       1    1.07    0.00       1    1.38    0.01       1
 700    1.86    0.01       1    0.84    0.00       1    1.23    0.00       1    1.57    0.00       1
 701    1.79    0.03       1    0.61    0.00       1    1.00    0.00       1    1.18    0.01       1
 702    1.88    0.01       1    0.83    0.00       1    1.19    0.00       1    1.59    0.00       1
 703    1.66    0.01       1    0.72    0.00       1    1.04    0.00       1    1.30    0.00       1
 704    1.66    0.01       1    0.72    0.00       1    1.04    0.00       1    1.30    0.00       1
 705    1.70    0.01       1    0.74    0.00       1    1.09    0.00       1    1.41    0.00       1
 706    1.84    0.01       1    0.80    0.00       1    1.16    0.00       1    1.51    0.00       1
 707    1.92    0.01       1    0.82    0.00       1    1.17    0.00       1    1.49    0.00       1
 708    2.09    0.01       1    0.83    0.00       1    1.21    0.00       1    1.54    0.00       1
 709    1.86    0.02       1    0.78    0.00       1    1.11    0.00       1    1.45    0.00       1
 710    1.79    0.01       1    0.77    0.00       1    1.12    0.00       1    1.42    0.00       1
 711    1.83    0.02       1    0.81    0.00       1    1.15    0.00       1    1.45    0.00       1
 712    1.74    0.01       1    0.77    0.00       1    1.10    0.00       1    1.38    0.00       1
 713    1.74    0.00       1    0.73    0.00       1    1.11    0.00       1    1.36    0.00       1
 714    1.91    0.01       1    0.81    0.00       1    1.19    0.00       1    1.54    0.00       1
 715    1.90    0.01       1    0.85    0.00       1    1.22    0.00       1    1.57    0.00       1
 716    1.86    0.01       1    0.75    0.00       1    1.14    0.00       1    1.47    0.00       1
 717    1.83    0.01       1    0.75    0.00       1    1.12    0.00       1    1.41    0.00       1
 718    1.74    0.01       1    0.78    0.00       1    1.11    0.00       1    1.43    0.00       1
 719    1.78    0.01       1    0.81    0.00       1    1.15    0.00       1    1.48    0.00       1
 720    1.76    0.01       1    0.72    0.00       1    1.04    0.00       1    1.34    0.00       1
 721    1.89    0.02       1    0.80    0.00       1    1.17    0.00       1    1.52    0.00       1
 722    1.87    0.01       1    0.77    0.00       1    1.13    0.00       1    1.44    0.00       1
 723    1.70    0.02       1    0.73    0.00       1    1.08    0.00       1    1.36    0.01       1
 724    1.70    0.02       1    0.73    0.00       1    1.08    0.00       1    1.36    0.01       1
 725    1.82    0.01       1    0.82    0.00       1    1.17    0.00       1    1.50    0.00       1
 726    1.56    0.01       1    0.78    0.00       1    1.16    0.00       1    1.52    0.00       1
 727    1.91    0.01       1    0.84    0.00       1    1.21    0.00       1    1.51    0.00       1
 728    1.85    0.01       1    0.85    0.00       1    1.22    0.00       1    1.56    0.00       1
 729    1.86    0.01       1    0.86    0.00       1    1.23    0.00       1    1.54    0.00       1
 730    1.76    0.02       1    0.81    0.00       1    1.14    0.00       1    1.48    0.00       1
 731    1.85    0.01       1    0.77    0.00       1    1.12    0.00       1    1.42    0.00       1
 732    1.75    0.02       1    0.74    0.00       1    1.08    0.00       1    1.34    0.01       1
 733    1.65    0.02       1    0.66    0.00       1    0.96    0.00       1    1.27    0.01       1
 734    1.84    0.01       1    0.85    0.00       1    1.23    0.00       1    1.60    0.00       1
 735    1.75    0.02       1    0.75    0.00       1    1.10    0.00       1    1.42    0.00       1
 736    1.87    0.01       1    0.83    0.00       1    1.18    0.00       1    1.52    0.00       1
 737    1.79    0.01       1    0.82    0.00       1    1.21    0.00       1    1.62    0.00       1
 738    1.59    0.02       1    0.75    0.00       1    1.07    0.00       1    1.40    0.01       1
 739    1.91    0.02       1    0.74    0.00       1    1.08    0.00       1    1.35    0.00       1
 740    1.85    0.01       1    0.81    0.00       1    1.19    0.00       1    1.47    0.00       1
 741    1.94    0.01       1    0.81    0.00       1    1.17    0.00       1    1.49    0.00       1
 742    1.77    0.01       1    0.82    0.00       1    1.21    0.00       1    1.55    0.00       1
 743    1.72    0.02       1    0.77    0.00       1    1.13    0.00       1    1.48    0.00       1
 744    1.82    0.01       1    0.77    0.00       1    1.13    0.00       1    1.44    0.00       1
 745    1.77    0.02       1    0.76    0.00       1    1.10    0.00       1    1.43    0.00       1
 746   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 747    1.89    0.01       1    0.82    0.00       1    1.19    0.00       1    1.52    0.00       1
 748    1.83    0.01       1    0.77    0.00       1    1.10    0.00       1    1.37    0.00       1
 749   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 750    2.02    0.01       1    0.86    0.00       1    1.24    0.00       1    1.57    0.00       1
 751    1.88    0.02       1    0.82    0.00       1    1.17    0.00       1    1.53    0.00       1
 752    1.71    0.02       1    0.77    0.00       1    1.08    0.00       1    1.40    0.01       1
 753    1.91    0.01       1    0.82    0.00       1    1.19    0.00       1    1.47    0.00       1
 754    1.72    0.02       1    0.78    0.00       1    1.10    0.00       1    1.43    0.00       1
 755    1.91    0.01       1    0.84    0.00       1    1.20    0.00       1    1.50    0.00       1
 756    1.85    0.01       1    0.80    0.00       1    1.15    0.00       1    1.49    0.00       1
 757    1.80    0.00       1    0.76    0.00       1    1.12    0.00       1    1.38    0.00       1
 758    1.96    0.01       1    0.83    0.00       1    1.14    0.00       1    1.54    0.00       1
 759    1.86    0.01       1    0.79    0.00       1    1.14    0.00       1    1.44    0.00       1
 760    1.97    0.00       1    1.06    0.01       1    1.63    0.01       1    1.50    0.00       1
 761    1.73    0.02       1    0.74    0.00       1    1.05    0.00       1    1.34    0.00       1
 762    1.68    0.03       1    0.77    0.00       1    1.10    0.00       1    1.39    0.01       1
 763    1.93    0.00       1    0.52    0.01       1    1.23    0.00       1    1.52    0.00       1
 764    1.86    0.00       1    0.80    0.00       1   -0.34    0.01       1    1.50    0.00       1
 765    1.91    0.00       1    0.82    0.00       1    1.29    0.00       1    1.62    0.00       1
 766    1.75    0.00       1    0.80    0.00       1    1.16    0.00       1    1.42    0.00       1
 767    1.80    0.00       1    0.23    0.01       1    1.10    0.00       1    1.34    0.00       1
 768    1.89    0.00       1    0.92    0.00       1    1.33    0.00       1    1.64    0.00       1
 769    1.60    0.00       1    0.68    0.00       1    1.03    0.00       1    1.27    0.00       1
 770   -0.09    0.01       1   -0.10    0.01       1   -0.20    0.01       1   -0.26    0.02       1
 771    1.86    0.00       1    0.85    0.00       1    0.37    0.01       1    1.57    0.00       1
 772    1.53    0.03       1    0.66    0.02       1    0.91    0.03       1    0.79    0.06       1
 773    1.64    0.00       1    0.72    0.00       1    1.09    0.00       1    1.29    0.00       1
 774    1.45    0.01       1    0.61    0.00       1    0.88    0.00       1    1.12    0.00       1
 775    1.31    0.01       1    0.45    0.00       1    0.63    0.00       1    0.76    0.01       1
 776    1.71    0.00       1    0.74    0.00       1    1.13    0.00       1    1.45    0.00       1
 777    1.93    0.00       1    0.77    0.00       1    1.18    0.00       1    1.47    0.00       1
 778    1.80    0.01       1    0.75    0.00       1    1.13    0.00       1    1.38    0.00       1
 779    1.97    0.00       1    1.21    0.01       1    1.24    0.00       1    1.55    0.00       1
 780    1.50    0.01       1    0.60    0.00       1    0.96    0.00       1    1.10    0.00       1
 781    1.81    0.00       1    0.73    0.00       1    1.10    0.00       1    1.35    0.00       1
 782    1.44    0.01       1    0.59    0.00       1    0.81    0.00       1    1.06    0.01       1
 783    1.57    0.02       1    0.63    0.00       1    0.98    0.00       1    1.10    0.01       1
 784    1.80    0.00       1    0.91    0.00       1    1.33    0.00       1    1.70    0.00       1
 785    1.47    0.02       1    0.63    0.00       1    0.96    0.00       1    1.14    0.01       1
 786    1.69    0.01       1    0.73    0.00       1    1.09    0.00       1    1.35    0.00       1
 787    1.86    0.00       1    0.78    0.01       1    1.10    0.00       1    1.30    0.00       1
 788    1.43    0.02       1    0.60    0.01       1    0.87    0.01       1    0.75    0.02       1
 789    1.80    0.00       1    0.77    0.00       1    1.16    0.00       1    1.45    0.00       1
 790    1.78    0.01       1    0.75    0.00       1    1.13    0.00       1    1.40    0.00       1
 791    1.90    0.01       1    0.83    0.00       1    1.25    0.00       1    1.56    0.00       1
 792    1.65    0.01       1    0.68    0.00       1    0.98    0.00       1    1.23    0.00       1
 793    1.85    0.00       1    0.78    0.00       1    1.23    0.00       1    1.47    0.00       1
 794    1.62    0.00       1    0.75    0.00       1    1.13    0.00       1    1.42    0.00       1
 795    1.91    0.00       1    0.83    0.00       1    1.16    0.00       1    1.45    0.00       1
 796    1.83    0.00       1    0.76    0.00       1    1.17    0.00       1    1.45    0.00       1
 797    1.70    0.00       1    0.73    0.00       1    1.09    0.00       1    1.38    0.00       1
 798    1.49    0.01       1    0.61    0.00       1    0.89    0.00       1    1.04    0.00       1
 799    1.83    0.00       1    0.79    0.00       1    1.20    0.00       1    1.50    0.00       1
 800    1.67    0.06       1    0.61    0.01       1    0.86    0.01       1    1.17    0.02       1
 801   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 802    1.80    0.00       1    0.77    0.00       1    1.17    0.00       1    1.47    0.00       1
 803    1.96    0.00       1    0.84    0.00       1   -1.13    0.02       1    1.58    0.00       1
 804    1.49    0.02       1    0.61    0.00       1    0.90    0.00       1    1.14    0.01       1
 805    1.44    0.03       1    0.60    0.00       1    0.89    0.00       1    1.09    0.01       1
 806    1.56    0.01       1    0.67    0.00       1    1.02    0.00       1    1.25    0.00       1
