Positions, redshifts and distances of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (2) in Dabringhausen & Fellhauer (2015).

The Table contains the following data:
Column 1: The running number that identifies the galaxies within this catalog. The galaxies are ordered by ascending right ascension.
Column 2: The right ascension for the epoch J2000.0.
Column 3: The declination for the epoch J2000.0.
Column 4: The origin of the data for right ascension and declination.
Column 5: The distance of the galaxies in Mpc.
Column 6: The origin of the distance estimate.
Column 7: The number of redshift-independent estimates from which the mean of the redshift-independent estimates quoted in this catalogue was calculated.
Column 8: The radial velocities of the galaxies.
Column 9: The source for the radial velocity of the galaxy.

For a detailed description of the data in this table, see Section (4) in Dabringhausen & Fellhauer (2015).

------------------------------------------------------------------
  id         asc       dec   s.       d   N_d     s.  v_rad     s.
         [h:m:s]   [d:m:s]        [Mpc]              [km/s]
------------------------------------------------------------------
 221  03:30:07.9 -32:28:33   1   18.967     0   105    1893   104
 222  03:30:30.5 -34:15:36   1   23.100     1     1    1157     1
 223  03:30:35.0 -34:51:14   1   20.459    17     1    1514     1
 224  03:30:46.2 -35:32:58   1   18.800     1     1    1509     1
 225  03:30:46.7 -35:21:16   1   18.967     0   105    1347   104
 226  03:30:56.3 -33:33:20   1   18.967     0   105    1347   104
 227  03:31:08.2 -36:17:25   1   19.700     4     1    1813     1
 228  03:31:12.1 -33:14:38   1   18.967     0   105    1347   104
 229  03:31:22.8 -34:58:18   1   18.967     0   105    1347   104
 230  03:31:24.8 -35:19:52   1   18.775     4     1    1275     1
 231  03:31:26.9 -35:29:40   1   18.967     0   105    1347   104
 232  03:31:44.9 -34:20:17   1   18.967     0   105    1347   104
 233  03:31:46.9 -35:40:32   1   18.967     0   105    1051   104
 234  03:31:47.6 -35:03:07   1   21.140     5     1    1660     1
 235  03:32:27.4 -35:46:31   1   18.967     0   105    1347   104
 236  03:32:31.4 -36:05:12   1   18.967     0   105    1347   104
 237  03:32:45.1 -37:50:12   1   18.967     0   105    1347   104
 238  03:32:46.9 -37:38:31   1   18.967     0   105    1347   104
 239  03:32:47.6 -34:14:19   1   19.425     4     1    2064     1
 240  03:32:48.6 -36:09:11   1   18.967     0   105    1347   104
 241  03:32:57.4 -35:44:16   1   13.600     1     1     966   101
 242  03:33:03.3 -36:26:36   1   18.967     0   105    1347   104
 243  03:33:03.5 -33:43:23   1   18.967     0   105    1283   104
 244  03:33:12.7 -36:01:02   1   18.200     1     1    1486     1
 245  03:33:14.6 -37:49:11   1   18.967     0   105    1347   104
 246  03:33:31.2 -34:27:19   1   18.967     0   105    1347   104
 247  03:33:33.8 -33:34:24   1   36.267     3     1    1374     1
 248  03:33:42.4 -32:25:31   1   18.967     0   105    1347   104
 249  03:33:48.5 -35:50:09   1   18.967     0   105    1347   104
 250  03:33:49.0 -34:10:11   1   18.967     0   105    1347   104
 251  03:33:55.4 -34:20:48   1   18.967     0   105    1347   104
 252  03:34:18.3 -35:47:41   1   18.967     0   105    1883   104
 253  03:34:20.3 -35:21:43   1   18.967     0   105    1347   104
 254  03:34:21.8 -34:35:33   1   18.967     0   105    1381   104
 255  03:34:29.5 -35:32:47   1   18.720     5     1    1205     1
 256  03:34:30.8 -34:17:51   1   18.967     0   105    1254   104
 257  03:34:44.1 -35:51:41   1   18.967     0   105    1347   104
 258  03:34:56.4 -35:11:28   1   25.100     1     1    1782   101
 259  03:34:58.2 -35:02:35   1   18.967     0   105    1347   104
 260  03:34:59.2 -35:10:16   1   18.900     8     1    1334     1
 261  03:35:00.3 -35:19:20   1   16.500     1     1    1172   101
 262  03:35:05.5 -35:13:06   1   16.200     1     1    1150   101
 263  03:35:16.6 -35:13:35   1   18.661    31     1    1294     1
 264  03:35:16.8 -35:15:56   1   17.927    11     1     740     1
 265  03:35:24.1 -36:21:50   1   18.300     1     1    2014     1
 266  03:35:25.2 -36:10:45   1   18.967     0   105    1347   104
 267  03:35:30.5 -35:15:06   1   18.967     0   105    1347   104
 268  03:35:31.0 -34:26:49   1   18.010     6     1    1619     1
 269  03:35:33.1 -32:27:54   1   18.614     7     1    1389     1
 270  03:35:34.0 -34:48:17   1   18.967     0   105    1347   104
 271  03:35:42.8 -35:20:17   1   24.700     1     1    1405     1
 272  03:35:42.8 -35:30:52   1   18.967     0   105    1347   104
 273  03:35:46.3 -35:59:22   1   18.967     0   105    1347   104
 274  03:35:55.7 -34:49:40   1   18.967     0   105    1347   104
 275  03:36:03.9 -35:26:28   1   18.010    30     1    1324     1
 276  03:36:03.9 -35:23:21   1   21.000     0     1    1955     1
 277  03:36:06.8 -35:50:29   1   18.967     0   105    1347   104
 278  03:36:12.9 -36:10:00   1   18.967     0   105    1430   104
 279  03:36:23.5 -35:54:41   1   18.967     0   105    1347   104
 280  03:36:27.6 -34:58:34   1   19.163    38     1    1877     1
 281  03:36:27.9 -35:12:38   1   18.700     1     1    1328   101
 282  03:36:31.7 -35:17:43   1   18.622    13     1    1724     1
 283  03:36:37.5 -35:23:09   1   18.967     0   105    1395   104
 284  03:36:43.2 -34:09:33   1   18.967     0   105    1347   104
 285  03:36:45.5 -33:00:50   1   18.967     0   105    1645   104
 286  03:36:47.5 -34:44:23   1   17.056     9     1    1561     1
 287  03:36:48.6 -34:16:48   1   18.967     0   105    1347   104
 288  03:36:49.2 -36:13:48   1   18.967     0   105    1347   104
 289  03:36:52.9 -36:29:10   1   18.967     0   105    1347   104
 290  03:36:53.3 -34:56:19   1   18.967     0   105    1113   104
 291  03:36:54.3 -35:22:29   1   19.875     4     1    1693     1
 292  03:36:57.0 -35:30:24   1   17.240    11     1    1302     1
 293  03:37:02.8 -34:52:32   1   18.967     0   105    1347   104
 294  03:37:04.5 -35:35:26   1   19.400     1     1     999     1
 295  03:37:04.8 -34:36:11   1   18.967     0   105    1347   104
 296  03:37:08.9 -35:11:42   1   18.700     8     1    1740     1
 297  03:37:10.0 -35:23:13   1   17.500     1     1    1243   101
 298  03:37:10.4 -35:53:18   1   15.400     1     1    1093   101
 299  03:37:11.8 -35:44:44   1   17.685    13     1     921     1
 300  03:37:18.0 -35:41:55   1   21.000     1     1    1279     1
 301  03:37:23.3 -34:54:01   1   18.967     0   105    1315   104
 302  03:37:34.0 -35:49:46   1   26.200     1     1    1797     1
 303  03:37:41.0 -35:17:46   1   18.967     0   105    1347   104
 304  03:37:42.7 -37:12:30   1   18.967     0   105    1347   104
 305  03:37:53.7 -37:16:47   1   18.967     0   105    1922   104
 306  03:37:54.6 -34:52:57   1   18.967     0   105    1184   104
 307  03:38:06.5 -35:26:24   1   18.733     3     1     808     1
 308  03:38:09.1 -34:31:07   1   19.850     4     1    1138     1
 309  03:38:13.5 -37:17:25   1   21.100     1     1    1042     1
 310  03:38:13.6 -33:07:38   1   20.675     4     1    1369     1
 311  03:38:18.7 -35:31:52   1   18.967     0   105    1756   104
 312  03:38:19.3 -36:03:57   1   18.967     0   105    1347   104
 313  03:38:19.3 -35:07:45   1   17.550     2     1    1420     1
 314  03:38:21.5 -35:15:34   1   21.800     1     1    2325     1
 315  03:38:29.0 -35:27:02   1   18.278    68     1    1425     1
 316  03:38:29.7 -23:01:39   1   21.412    16     1    1717     1
 317  03:38:36.7 -35:50:03   1   23.900     1     1    1697   101
 318  03:38:37.6 -35:45:27   1   19.300     1     1    1964     1
 319  03:38:45.4 -35:15:59   1   13.300     1     1     944   101
 320  03:38:51.9 -35:35:40   1   19.097    39     1    2083     1
 321  03:38:55.1 -35:14:12   1   14.700     1     1    1044   101
 322  03:39:05.8 -36:05:55   1   18.967     0   105    1724   104
 323  03:39:13.3 -35:22:17   1   18.850     2     1     800     1
 324  03:39:19.5 -35:43:35   1   14.800     1     1     902     1
 325  03:39:32.8 -31:47:32   1   18.967     0   105    1347   104
 326  03:39:50.1 -35:31:22   1   18.967     0   105     700   104
 327  03:39:50.4 -35:01:17   1   18.967     0   105    1347   104
 328  03:39:51.4 -35:19:19   1   25.200     1     1    1789   101
 329  03:39:55.4 -35:39:43   1   25.900     1     1    1839   101
 330  03:40:01.2 -34:45:31   1   18.967     0   105    1025   104
 331  03:40:04.7 -34:10:04   1   18.967     0   105    1347   104
 332  03:40:07.5 -32:19:10   1   18.967     0   105    1347   104
 333  03:40:10.1 -34:26:47   1   18.967     0   105    1347   104
 334  03:40:11.8 -18:34:48   1   23.500    18     1    1779     1
 335  03:40:19.0 -33:25:18   1   18.967     0   105    1347   104
 336  03:40:20.5 -37:38:41   1   18.967     0   105    1347   104
 337  03:40:23.5 -35:16:37   1   14.300     1     1    1824     1
 338  03:40:27.0 -36:29:56   1   23.800     1     1    1346     1
 339  03:40:30.7 -35:52:41   1   18.967     0   105     687   104
 340  03:40:33.8 -35:01:21   1   18.500     1     1    2177     1
 341  03:40:37.7 -36:07:16   1   18.967     0   105    1347   104
 342  03:40:42.1 -37:30:39   1   18.540     1     1    1593     1
 343  03:40:42.4 -35:39:40   1   18.967     0   105    1097   104
 344  03:40:44.3 -37:24:31   1   18.967     0   105    1347   104
 345  03:40:49.8 -35:01:25   1   18.967     0   105    1347   104
 346  03:40:50.4 -35:44:54   1   18.967     0   105    1415   104
 347  03:40:55.3 -37:50:17   1   18.967     0   105    1677   104
 348  03:41:00.8 -35:44:31   1   18.967     0   105    1517   104
 349  03:41:03.6 -33:46:46   1   17.517     6     1    1255     1
 350  03:41:03.8 -34:57:15   1   18.967     0   105    1347   104
 351  03:41:07.1 -35:41:25   1   18.967     0   105    1347   104
 352  03:41:07.2 -35:30:52   1   18.967     0   105    1770   104
 353  03:41:12.8 -35:09:30   1   18.967     0   105     548   104
 354  03:41:21.5 -33:46:09   1   18.967     0   105    1492   104
 355  03:41:21.5 -35:56:56   1   18.967     0   105    1347   104
 356  03:41:31.7 -35:35:23   1   18.967     0   105    2033   104
 357  03:41:41.3 -35:10:13   1   19.600     1     1    1558     1
 358  03:41:42.6 -33:29:04   1   18.967     0   105    1347   104
 359  03:41:57.4 -35:17:31   1   18.000     1     1    1278   101
 360  03:42:06.3 -34:50:58   1   18.967     0   105    1347   104
 361  03:42:10.9 -35:26:32   1   18.967     0   105    1608   104
 362  03:42:17.3 -35:32:27   1   22.400     2     1    1073     1
 363  03:42:19.2 -35:33:38   1   18.967     1   105    1347   104
 364  03:42:19.4 -35:23:33   1   19.355    29     1    1388     1
 365  03:42:22.7 -35:09:14   1   20.040     5     1    1640     1
 366  03:42:26.3 -36:41:12   1   18.500     1     1    1313   101
 367  03:42:27.1 -33:52:16   1   18.967     0   105    2125   104
 368  03:42:36.9 -35:57:21   1   18.967     0   105    1347   104
