Positions, redshifts and distances of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (2) in Dabringhausen & Fellhauer (2015).

The Table contains the following data:
Column 1: The running number that identifies the galaxies within this catalog. The galaxies are ordered by ascending right ascension.
Column 2: The right ascension for the epoch J2000.0.
Column 3: The declination for the epoch J2000.0.
Column 4: The origin of the data for right ascension and declination.
Column 5: The distance of the galaxies in Mpc.
Column 6: The origin of the distance estimate.
Column 7: The number of redshift-independent estimates from which the mean of the redshift-independent estimates quoted in this catalogue was calculated.
Column 8: The radial velocities of the galaxies.
Column 9: The source for the radial velocity of the galaxy.

For a detailed description of the data in this table, see Section (4) in Dabringhausen & Fellhauer (2015).

------------------------------------------------------------------
  id         asc       dec   s.       d   N_d     s.  v_rad     s.
         [h:m:s]   [d:m:s]        [Mpc]              [km/s]
------------------------------------------------------------------
 787  12:18:08.2  28:10:31   1   13.415     4     1    1066     1
 788  12:18:50.9  07:51:43   1    9.120     1     1    1411     1
 789  12:18:56.1  04:47:10   1   30.633     3     1    1995     1
 790  12:19:22.2  05:22:35   1   57.000     1     1    2497     1
 791  12:19:23.2  05:49:31   1   31.755    11     1    2212     1
 792  12:19:27.8  05:02:51   1   37.450     2     1    1872     1
 793  12:19:30.6  14:52:40   1   20.000    11     1    1359     1
 794  12:19:35.7  05:50:48   1   37.500     1     2    2518     1
 795  12:19:45.2  12:47:54   1   16.545    11     1    1021     1
 796  12:19:47.2  05:17:02   1   29.600     2     1    2034     1
 797  12:19:49.5  05:27:48   1   33.767     3     1    2331     1
 798  12:20:03.3  14:57:41   1   16.410     1     3    1596     1
 799  12:20:06.8  29:16:51   1   15.500    19     1     620     1
 800  12:20:12.2  06:37:23   1   16.500     0   102    1364     1
 801  12:20:18.2  75:22:15   1   33.491    11     1    1757     1
 802  12:20:20.8  29:18:39   1   15.700     8     1    1056     1
 803  12:20:21.5  05:23:11   1   34.175     4     1    2671     1
 804  12:20:48.8  17:29:13   1   16.410     1     3    2471     1
 805  12:21:04.8  11:45:17   1   16.500     0   102    1432     1
 806  12:21:37.0  05:45:57   1   36.300     1     2    2424     1
 807  12:22:04.1  12:47:15   1   16.871     7     1    1474     1
 808  12:22:14.7  07:10:02   1   22.950     2     1     750     1
 809  12:22:19.5  14:45:39   1   16.740     1     3    1981     1
 810  12:22:41.1  07:57:01   1   26.200     7     1    1047     1
 811  12:22:43.3  08:11:54   1   24.575     9     1    1231     1
 812  12:23:06.2  05:15:01   1   30.367     6     1    1665     1
 813  12:23:20.0  15:49:13   1   16.100     7     1     985     1
 814  12:23:27.9  46:59:38   1   15.650     2     1     832     1
 815  12:23:34.9  06:04:54   1   18.712     8     1    1266     1
 816  12:23:35.3  16:43:20   1   17.389     9     1     933     1
 817  12:23:38.5  12:37:40   1   16.500     0   102    1172   103
 818  12:23:39.0  07:03:14   1   16.800     1     1     761     1
 819  12:23:52.9  12:46:23   1   16.500     0   102    1172   103
 820  12:23:57.8  16:41:36   1   16.000     8     1    1210     1
 821  12:24:05.0  11:13:05   1   19.067     9     1    2070     1
 822  12:24:19.4  12:19:38   1   16.500     0   102    1172   103
 823  12:24:21.7  12:36:35   1   16.500     0   102    1172   103
 824  12:24:28.3  07:19:04   1   21.953    38     1    1243     1
 825  12:24:37.5  10:50:21   1  116.000     2     1    7839     1
 826  12:24:41.6  12:30:40   1   16.500     0   102    1172   103
 827  12:24:45.5  12:46:33   1   16.500     0   102    1172   103
 828  12:24:47.0  07:21:11   1   16.500     0   102    1276     1
 829  12:24:48.3  18:11:42   1   16.500     0   102    1065     1
 830  12:24:49.5  06:45:34   1   20.200     2     1     479     1
 831  12:24:51.6  13:06:40   1   16.500     0   102     955     1
 832  12:24:55.4  11:42:15   1   15.917    12     1     933     1
 833  12:25:00.6  13:02:24   1   16.500     0   102    1172   103
 834  12:25:03.5  13:14:41   1   16.500     0   102     968     1
 835  12:25:03.7  12:53:13   1   17.034    50     1    1017     1
 836  12:25:04.8  13:04:31   1   16.500     0   102    1172   103
 837  12:25:09.7  12:22:57   1   16.500     0   102    1172   103
 838  12:25:12.3  14:45:44   1   19.309    11     1    1338     1
 839  12:25:13.1  13:01:32   1   16.500     0   102    -181     1
 840  12:25:13.6  13:04:20   1   16.500     0   102    1172   103
 841  12:25:14.7  15:36:27   1   17.396    12     1    1074     1
 842  12:25:15.2  12:42:53   1   15.583     6     1     697     1
 843  12:25:18.3  12:24:35   1   16.500     0   102    1172   103
 844  12:25:20.1  13:08:55   1   16.500     0   102    1172   103
 845  12:25:21.6  16:25:46   1   16.500     0   102    -188     1
 846  12:25:21.6  13:04:18   1   16.500     0   102    1908     1
 847  12:25:24.1  18:11:29   1   17.056    19     1     729     1
 848  12:25:24.8  13:06:34   1   16.500     0   102    1172   103
 849  12:25:26.6  12:40:37   1   16.500     0   102    1172   103
 850  12:25:28.0  12:20:04   1   16.500     0   102    1172   103
 851  12:25:28.5  12:38:12   1   16.500     0   102    2424     1
 852  12:25:28.8  12:29:37   1   16.500     0   102    1172   103
 853  12:25:30.4  12:58:37   1   16.500     0   102    1172   103
 854  12:25:33.5  13:13:38   1   15.650     2     1    -340     1
 855  12:25:36.7  12:50:59   1   16.500     0   102    1172   103
 856  12:25:37.2  13:08:37   1   19.800     1     1    -700     1
 857  12:25:38.7  12:49:25   1   16.500     0   102    1172   103
 858  12:25:41.3  13:02:51   1   16.500     0   102     564     1
 859  12:25:41.7  12:48:38   1   17.500    13     1     565     1
 860  12:25:44.6  13:01:20   1   16.500     0   102     720     1
 861  12:25:45.0  12:47:16   1   16.500     0   102    1172   103
 862  12:25:47.1  12:45:37   1   16.500     0   102   88564     1
 863  12:25:47.4  12:25:19   1   16.500     0   102    1172   103
 864  12:25:48.4  13:07:22   1   16.500     0   102    1172   103
 865  12:25:49.0  12:48:16   1   16.500     0   102    1172   103
 866  12:25:50.5  13:11:52   1   18.200     1     1    -730     1
 867  12:25:52.6  13:11:29   1   16.500     0   102    1172   103
 868  12:25:55.7  12:46:11   1   16.500     0   102     701     1
 869  12:25:57.9  10:03:14   1   16.500     0   102     918     1
 870  12:26:01.3  13:13:38   1   16.500     0   102    1172   103
 871  12:26:05.6  12:33:35   1   17.400     1     1    1427     1
 872  12:26:06.7  12:51:40   1   16.500     0   102    1316     1
 873  12:26:09.6  12:23:43   1   16.500     0   102    1172   103
 874  12:26:10.8  12:28:54   1   16.500     0   102    1172   103
 875  12:26:11.7  12:56:46   1   16.442    43     1    -224     1
 876  12:26:11.9  12:05:13   1   16.500     0   102    1172   103
 877  12:26:15.0  12:57:51   1   16.500     0   102    1101     1
 878  12:26:15.3  13:20:27   1   16.500     0   102    1172   103
 879  12:26:15.7  13:08:35   1   16.500     0   102    1172   103
 880  12:26:17.2  12:49:58   1   16.500     0   102    1172   103
 881  12:26:20.0  12:30:36   1   16.500     0   102    -666     1
 882  12:26:22.6  12:47:12   1   16.500     0   102    1172   103
 883  12:26:23.6  13:22:25   1   16.500     0   102    1172   103
 884  12:26:24.0  12:25:01   1   16.500     0   102    1172   103
 885  12:26:26.2  12:39:10   1   16.500     0   102    1172   103
 886  12:26:28.0  12:55:14   1   16.500     0   102    1172   103
 887  12:26:28.3  12:58:33   1   16.500     0   102    1172   103
 888  12:26:32.4  13:34:44   1   17.030    10     1    1025     1
 889  12:26:33.2  12:44:35   1   16.500     0   102    1301     1
 890  12:26:36.3  12:48:10   1   16.500     0   102    1172   103
 891  12:26:38.1  11:53:31   1   16.500     0   102    1172   103
 892  12:26:39.8  12:30:49   1   19.200     1     1    -254     1
 893  12:26:41.2  12:50:42   1   16.500     0   102    1172   103
 894  12:26:43.3  12:17:44   1   16.500     0   102    1172   103
 895  12:26:44.6  13:11:16   1   16.500     0   102    1172   103
 896  12:26:46.6  13:16:00   1   16.500     0   102    1172   103
 897  12:26:47.0  12:27:14   1   16.740     1     3    1238     1
 898  12:26:47.9  13:22:45   1   18.140     5     1    1288   103
 899  12:26:48.4  12:24:00   1   16.500     0   102    1172   103
 900  12:26:49.5  12:10:44   1   16.500     0   102    1172   103
 901  12:26:50.6  09:35:03   1   15.132    11     1     828     1
 902  12:26:54.3  11:39:50   1   16.500     0   102    2066     1
 903  12:26:56.4  12:57:41   1   16.500     0   102    2151     1
 904  12:26:57.6  12:25:14   1   16.500     0   102    1172   103
 905  12:26:59.0  23:54:15   1    0.044     4     1      98     1
 906  12:26:59.2  12:30:22   1   16.500     0   102    1172   103
 907  12:27:03.1  12:33:39   1   16.500     0   102     851     1
 908  12:27:03.3  13:17:24   1   16.500     0   102    1172   103
 909  12:27:03.8  12:51:59   1   16.500     0   102    1172   103
 910  12:27:04.3  13:27:21   1   16.500     0   102    1172   103
 911  12:27:06.0  13:19:25   1   16.500     0   102    1172   103
 912  12:27:08.4  13:20:09   1   16.500     0   102    1172   103
 913  12:27:11.2  12:02:17   1   16.500     0   102     102     1
 914  12:27:11.3  12:06:52   1   16.500     0   102    1172   103
 915  12:27:12.7  13:13:15   1   16.500     0   102    1172   103
 916  12:27:13.3  12:44:05   1   16.800     1     1    1908     1
 917  12:27:15.4  13:24:47   1   16.500     0   102    1172   103
 918  12:27:15.8  12:39:54   1   16.500     0   102    1172   103
 919  12:27:16.8  12:32:08   1   16.500     0   102    1172   103
 920  12:27:16.9  16:01:28   1   18.700     1     1    1411     1
 921  12:27:19.6  12:13:16   1   16.500     0   102    1172   103
 922  12:27:19.6  13:05:13   1   16.500     0   102    1172   103
 923  12:27:20.3  11:41:44   1   16.500     0   102    1172   103
 924  12:27:20.9  12:34:29   1   16.500     0   102    1172   103
 925  12:27:21.0  13:06:42   1   16.500     0   102     -28     1
 926  12:27:22.2  12:04:07   1   16.500     0   102    -240     1
 927  12:27:23.5  12:19:54   1   16.500     0   102    -109     1
 928  12:27:24.9  13:24:23   1   16.500     0   102    1172   103
 929  12:27:26.5  11:06:28   1   15.400     6     1    1104     1
 930  12:27:27.0  11:56:33   1   16.500     0   102    1172   103
 931  12:27:27.4  12:17:25   1   16.740     1     3    1727     1
 932  12:27:29.5  11:44:04   1   16.500     0   102    1172   103
 933  12:27:29.6  12:16:08   1   16.500     0   102    1172   103
 934  12:27:29.8  12:15:07   1   16.500     0   102    1172   103
 935  12:27:34.4  12:48:14   1   16.500     0   102    1172   103
 936  12:27:35.8  12:37:28   1   16.500     0   102    1172   103
 937  12:27:36.7  08:09:16   1   22.183    18     1    1070     1
 938  12:27:39.2  12:52:48   1   16.500     0   102      90     1
 939  12:27:40.5  13:04:44   1   16.230    10     1     791     1
 940  12:27:41.2  12:18:57   1   17.900     3     1    1124     1
 941  12:27:41.6  12:29:16   1   16.500     0   102    1172   103
 942  12:27:42.1  12:05:23   1   16.500     0   102    -500     1
 943  12:27:43.4  11:58:05   1   16.500     0   102    1172   103
 944  12:27:44.5  12:33:28   1   16.500     0   102    1172   103
 945  12:27:46.4  11:44:29   1   16.500     0   102    1172   103
 946  12:27:48.4  13:04:31   1   16.500     0   102    1172   103
 947  12:27:49.5  12:29:59   1   16.500     0   102    1172   103
 948  12:27:53.1  12:22:59   1   16.500     0   102    1172   103
 949  12:27:54.5  12:36:15   1   16.500     0   102    1172   103
 950  12:27:54.8  08:05:25   1   18.562     8     1     620     1
 951  12:28:00.4  11:56:59   1   16.500     0   102    2248     1
 952  12:28:03.9  09:48:13   1   15.110    10     1     547     1
 953  12:28:05.9  12:50:15   1   16.500     0   102    1172   103
 954  12:28:06.5  12:53:53   1   16.500     0   102    2308     1
 955  12:28:06.8  12:58:43   1   16.500     0   102    1172   103
 956  12:28:07.9  12:24:08   1   16.500     0   102    1172   103
 957  12:28:08.6  12:05:36   1   23.600     2     1    1899     1
 958  12:28:10.3  12:48:32   1   16.500     0   102    1172   103
 959  12:28:12.2  11:58:13   1   16.500     0   102    1172   103
 960  12:28:12.3  10:17:52   1   15.267     6     1    1844     1
 961  12:28:12.9  13:00:55   1   16.500     0   102    1172   103
 962  12:28:14.9  11:47:23   1   16.060     5     1     934     1
 963  12:28:15.5  12:33:37   1   16.500     0   102    1172   103
 964  12:28:17.8  11:50:53   1   16.500     0   102    1172   103
 965  12:28:18.7  11:42:01   1   16.500     0   102    1461     1
 966  12:28:20.0  12:48:59   1   16.500     0   102    1172   103
 967  12:28:20.1  13:21:37   1   16.500     0   102    1172   103
 968  12:28:23.7  13:11:45   1   16.500     0   102    1774     1
 969  12:28:26.3  12:20:45   1   16.500     0   102    1172   103
 970  12:28:28.0  12:49:25   1   15.800     3     1    1704     1
 971  12:28:29.7  11:58:20   1   16.500     0   102    1172   103
 972  12:28:32.0  12:59:16   1   16.500     0   102    1172   103
 973  12:28:32.5  11:44:41   1   16.500     0   102    1172   103
 974  12:28:39.9  12:58:41   1   16.500     0   102    1172   103
 975  12:28:41.7  12:54:57   1   17.218    11     1     675     1
 976  12:28:42.6  12:32:59   1   16.500     0   102    1874     1
 977  12:28:43.3  11:45:18   1   16.040     5     1     188     1
 978  12:28:44.6  11:59:37   1   16.500     0   102    1172   103
 979  12:28:44.9  12:48:35   1   16.500     0   102      12     1
 980  12:28:46.0  12:01:20   1   16.500     0   102    1172   103
 981  12:28:46.9  12:38:31   1   16.500     0   102    1172   103
 982  12:28:49.0  12:07:58   1   16.500     0   102    1172   103
 983  12:28:50.0  12:47:47   1   16.500     0   102    1172   103
 984  12:28:51.2  11:57:28   1   16.500     0   102    1172   103
 985  12:28:51.9  12:47:51   1   16.500     0   102    1172   103
 986  12:28:53.7  13:11:51   1   16.500     0   102    1172   103
 987  12:28:55.6  12:42:25   1   16.500     0   102    1172   103
 988  12:28:57.5  13:14:31   1   17.625    28     1     677     1
 989  12:28:57.7  11:57:20   1   16.500     0   102    1172   103
 990  12:28:58.1  12:39:42   1   16.500     0   102    1417     1
 991  12:28:59.1  12:02:30   1   16.500     0   102    1172   103
 992  12:28:59.1  12:54:30   1   16.500     0   102    1172   103
 993  12:28:59.5  11:55:23   1   16.500     0   102    1172   103
 994  12:28:59.8  12:38:54   1   16.500     0   102     844     1
 995  12:29:00.0  13:58:42   1   16.867    12     1    1192     1
 996  12:29:02.0  12:26:03   1   16.500     0   102    1172   103
 997  12:29:03.0  13:11:02   1   14.400     2     1    1924     1
 998  12:29:05.1  12:09:13   1   16.500     0   102    1172   103
 999  12:29:05.4  12:01:50   1   16.500     0   102    1172   103
1000  12:29:09.2  12:29:47   1   16.500     0   102    1172   103
1001  12:29:14.8  12:58:42   1   16.500     0   102    2416     1
1002  12:29:19.2  12:22:37   1   16.500     0   102    1172   103
1003  12:29:21.3  08:09:24   1   15.689     9     1    1243     1
1004  12:29:21.5  12:28:04   1   16.500     0   102    1172   103
1005  12:29:22.5  11:26:02   1   18.700     2     1     476     1
1006  12:29:23.5  12:27:03   1   17.283     6     1     500     1
1007  12:29:28.7  12:29:46   1   16.500     0   102      13     1
1008  12:29:30.2  07:59:34   1   19.450     8     1    1423     1
1009  12:29:31.3  12:34:12   1   16.500     0   102    1172   103
1010  12:29:33.6  13:11:46   1   16.500     0   102    1215     1
1011  12:29:35.0  08:03:29   1   16.480     5     1    1401     1
1012  12:29:35.6  13:12:40   1   16.500     0   102    1172   103
1013  12:29:35.8  12:45:07   1   16.500     0   102    1172   103
1014  12:29:39.2  12:32:54   1   16.500     0   102    1099     1
1015  12:29:41.3  12:02:47   1   16.500     0   102    1172   103
1016  12:29:41.5  12:29:57   1   16.500     0   102    1172   103
1017  12:29:43.2  12:39:19   1   16.500     0   102    1172   103
1018  12:29:44.1  12:48:20   1   16.500     0   102     484     1
1019  12:29:46.7  08:00:02   1   16.182    55     1     981     1
1020  12:29:47.2  13:04:34   1   16.500     0   102    1172   103
1021  12:29:47.7  12:34:18   1   16.500     0   102    1172   103
1022  12:29:48.9  13:25:46   1   16.348    27     1    2244     1
1023  12:29:53.5  14:04:07   1   16.100    11     1    1611     1
1024  12:29:53.8  12:37:18   1   16.500     0   102    1172   103
1025  12:29:56.3  13:13:12   1   16.500     0   102    1172   103
1026  12:29:59.1  12:20:55   1   18.569    13     1    1968     1
1027  12:30:01.1  13:07:04   1   16.500     0   102    1172   103
1028  12:30:01.8  12:56:54   1   16.500     0   102    1172   103
1029  12:30:02.2  13:38:12   1   19.450     4     1    1338     1
1030  12:30:04.4  12:30:36   1   16.500     0   102    1172   103
1031  12:30:05.1  08:04:24   1   28.650     2     1    1278     1
1032  12:30:06.1  12:22:38   1   16.500     0   102    1172   103
1033  12:30:06.2  12:41:18   1   16.500     0   102    1172   103
1034  12:30:07.9  12:23:20   1   16.500     0   102    1172   103
1035  12:30:10.3  10:46:46   1   35.100     2     1    1335     1
1036  12:30:10.9  12:11:44   1   16.500     0   102    -420     1
1037  12:30:15.4  12:30:57   1   16.500     0   102    1172   103
1038  12:30:17.3  12:14:32   1   16.500     0   102    1172   103
1039  12:30:17.4  12:19:43   1   16.586    29     1    1349     1
1040  12:30:17.8  12:02:32   1   16.500     0   102    1172   103
1041  12:30:18.3  12:34:15   1   16.500     0   102    1172   103
1042  12:30:18.4  13:34:40   1   18.360    10     1     876     1
1043  12:30:23.9  12:26:09   1   16.500     0   102    1172   103
1044  12:30:24.6  12:47:35   1   16.500     0   102    1172   103
1045  12:30:28.2  12:58:55   1   16.500     0   102    1172   103
1046  12:30:30.4  13:05:39   1   16.500     0   102    1172   103
1047  12:30:32.0  12:29:25   1   15.278     9     1    1555     1
1048  12:30:32.0  12:23:07   1   16.500     0   102    1172   103
1049  12:30:32.2  12:51:51   1   16.500     0   102    1172   103
1050  12:30:33.4  12:54:03   1   16.500     0   102    1172   103
1051  12:30:34.6  12:27:30   1   16.500     0   102    1172   103
1052  12:30:35.0  13:11:22   1   16.500     0   102    1172   103
1053  12:30:39.9  15:07:47   1   18.991    11     1    1871     1
1054  12:30:40.4  12:37:18   1   16.500     0   102    1172   103
1055  12:30:40.6  09:00:56   1   16.900     9     1    2244     1
1056  12:30:45.9  11:20:36   1   16.500     0   102    1721     1
1057  12:30:46.4  12:05:57   1   16.500     0   102    1276     1
1058  12:30:46.9  13:12:51   1   16.500     0   102    1172   103
1059  12:30:48.3  12:19:52   1   16.500     0   102    1172   103
1060  12:30:48.5  12:02:42   1   16.900     2     1    1254     1
1061  12:30:49.0  13:13:26   1   16.500     0   102      77     1
1062  12:30:49.4  12:23:28   1   16.771    86     1    1968     1
1063  12:30:50.6  12:44:12   1   16.500     0   102    1172   103
1064  12:30:52.2  16:45:32   1   15.429    20     1     961     1
1065  12:30:57.7  12:16:13   1   16.650     6     1     758     1
1066  12:31:03.2  12:21:10   1   16.500     0   102    1172   103
1067  12:31:03.3  12:04:41   1   16.500     0   102    1172   103
1068  12:31:05.1  12:29:39   1   16.500     0   102    1172   103
1069  12:31:15.7  12:19:54   1   16.500     0   102    1968     1
1070  12:31:19.4  12:44:17   1   16.500     0   102    -353     1
1071  12:31:19.6  12:36:42   1   16.500     0   102    1850     1
1072  12:31:20.2  14:06:55   1   16.500     0   102    -108     1
1073  12:31:24.1  25:46:31   1   13.948    24     1    1342     1
1074  12:31:44.1  12:36:45   1   16.500     0   102    1172   103
1075  12:31:51.3  12:39:25   1   16.500     0   102    1297     1
1076  12:31:52.0  12:28:55   1   16.500     0   102     858     1
1077  12:32:00.7  12:37:13   1   16.500     0   102     471     1
1078  12:32:02.7  11:53:24   1   21.100     7     1    6210     1
1079  12:32:04.8  12:23:42   1   16.500     0   102    1172   103
1080  12:32:06.2  11:10:35   1   15.700     4     1    1334     1
1081  12:32:07.7  12:26:03   1   16.500     0   102    1172   103
1082  12:32:11.3  12:30:25   1   16.500     0   102    1172   103
1083  12:32:14.2  10:15:05   1   16.370    10     1    1288     1
1084  12:32:23.4  11:15:47   1   22.200     9     1    1019     1
1085  12:32:33.4  15:24:55   1   19.400     6     1     382     1
1086  12:32:34.6  12:38:13   1   16.500     0   102    1172   103
1087  12:32:41.0  12:46:16   1   16.500     0   102    2583     1
1088  12:32:44.2  14:11:46   1   17.729     7     1    1505     1
1089  12:32:47.6  63:56:21   1   39.700     1     2    2511     1
1090  12:32:55.3  12:38:06   1   16.500     0   102    1172   103
1091  12:33:05.0  16:15:56   1   17.650     8     1     951     1
1092  12:33:13.4  09:23:50   1   18.740     5     1    1079     1
1093  12:33:13.9  10:55:43   1   18.980     5     1      80     1
1094  12:33:16.9  12:34:54   1   16.500     0   102    1172   103
1095  12:33:19.8  12:51:12   1   22.820     5     1    -575     1
1096  12:33:34.6  11:15:43   1   18.350     2     1     762     1
1097  12:33:51.6  13:19:21   1   16.500     0   102    1949     1
1098  12:34:03.1  07:41:58   1   15.301    26     1     617     1
1099  12:34:06.1  11:19:17   1   17.250    10     1    1378     1
1100  12:34:06.7  12:44:30   1   16.286     7     1    1491     1
1101  12:34:11.5  12:02:56   1   17.743     7     1    2000     1
1102  12:34:14.8  11:04:17   1   15.300     7     1    1647     1
1103  12:34:38.4  15:36:10   1   16.500     0   102     361     1
1104  12:35:29.5 -03:47:35   1   18.100     4     1    1057     1
1105  12:35:30.6  12:13:15   1   16.321    13     1     459     1
1106  12:35:37.2  12:22:55   1   15.600     2     1     236     1
1107  12:35:37.9  12:15:50   1   17.817    18     1    1176     1
1108  12:35:39.8  12:33:23   1   15.673    37     1     340     1
1109  12:36:24.8  10:23:05   1   18.100     6     1    1457     1
1110  12:36:27.0  11:26:21   1   16.229    21     1    1142     1
1111  12:36:39.4  11:06:07   1   16.740     1     3    1357     1
1112  12:36:53.4  07:14:48   1   16.582    11     1    1787     1
1113  12:36:54.8  12:31:12   1   16.500     0   102     696     1
1114  12:37:25.0  74:11:31   1   30.371     7     1    1980     1
1115  12:37:30.5  09:33:18   1   17.700    18     1    2292     1
1116  12:38:06.8  10:04:56   1   17.600     2     1    1279     1
1117  12:39:04.7  14:43:52   1   14.700     1     1    1251     1
1118  12:39:48.0  12:58:26   1   42.800     2     1    2822     1
1119  12:39:55.9  10:10:34   1   16.800     1     1    1892     1
1120  12:40:11.2  09:53:46   1   16.250     2     1    2033     1
1121  12:40:13.4  12:52:29   1   15.619     7     1    1569     1
1122  12:40:19.7  15:56:07   1   17.883     6     1    1820     1
1123  12:40:53.1  10:28:31   1   16.500     0   102     634     1
1124  12:40:58.5  11:11:04   1   20.650     6     1    1547     1
1125  12:41:13.3  10:09:20   1   19.880     5     1    1850     1
1126  12:41:15.7  11:23:14   1   15.157     7     1     588     1
1127  12:41:16.0 -05:00:33   1   40.700     1     2    2822     1
1128  12:41:20.6  14:42:02   1   16.500     0   102      45     1
1129  12:41:32.7  07:18:54   1   17.627    11     1    1775     1
1130  12:41:39.4  12:14:51   1   11.648     5     1     914     1
1131  12:41:52.0  09:24:10   1   15.129     7     1     629     1
1132  12:42:02.2  11:38:49   1   15.686    36     1     467     1
1133  12:42:08.6  11:45:15   1   15.850     2     1    1032     1
1134  12:42:09.1  12:35:48   1   15.757     7     1     206     1
1135  12:42:10.7  07:40:37   1   16.800    11     1    1807     1
1136  12:42:47.4  11:26:33   1   16.706    12     1    1152     1
1137  12:42:49.8  02:41:16   1   16.150    26     1     938     1
1138  12:42:56.3  03:40:36   1   16.740     1     3    -169     1
1139  12:42:58.0  10:40:55   1   16.900     1     1    1672     1
1140  12:43:20.1  01:58:42   1   25.700     1     1    1333     1
1141  12:43:40.0  11:33:10   1   16.633    46     1    1110     1
1142  12:44:12.0  12:56:31   1   16.550     2     1     845     1
1143  12:44:32.0  11:11:26   1   15.570    20     1    1083     1
1144  12:45:06.0  03:03:21   1   17.900     1     1     912     1
1145  12:45:20.4  13:41:34   1   15.214     7     1    1895     1
1146  12:47:15.3  10:12:13   1   17.417     6     1    1084     1
1147  12:47:17.5 -02:43:39   1   19.300     4     1    1560     1
1148  12:47:20.6  12:09:59   1   17.233     6     1    1156     1
1149  12:47:55.5 -01:39:22   1   40.200     1     2    2765     1
1150  12:48:15.1  10:59:01   1   15.302     4     1    1160     1
1151  12:48:27.1 -41:17:35   1   45.290     0   107    3216   106
1152  12:48:28.3 -41:21:25   1   45.290     0   107    3216   106
1153  12:48:30.0 -41:19:19   1   45.290     0   107    3768     1
1154  12:48:31.0 -41:18:24   1   45.290     0   107    3003     1
1155  12:48:31.1 -41:15:34   1   45.290     0   107    3216   106
1156  12:48:32.6 -41:35:42   1   45.290     0   107    3216   106
1157  12:48:34.1 -41:21:21   1   45.290     0   107    3216   106
1158  12:48:35.9 -05:48:03   1   12.311    15     1    1241     1
1159  12:48:36.0 -41:26:23   1   55.700     1     1    3312     1
1160  12:48:36.5 -41:18:37   1   45.290     0   107    3216   106
1161  12:48:37.6 -41:17:17   1   45.290     0   107    3216   106
1162  12:48:37.7 -41:19:49   1   45.290     0   107    3216   106
1163  12:48:39.7 -41:16:06   1   44.200     1     1    2851     1
1164  12:48:39.8 -41:17:00   1   45.290     0   107    3216   106
1165  12:48:40.0 -41:19:17   1   45.290     0   107    3216   106
1166  12:48:40.5 -41:24:20   1   45.290     0   107    3216   106
1167  12:48:40.7 -41:19:49   1   45.290     0   107    3216   106
1168  12:48:42.0 -41:18:03   1   45.290     0   107    3216   106
1169  12:48:42.4 -41:36:52   1   45.290     0   107    3216   106
1170  12:48:45.0 -41:21:07   1   45.290     0   107    3216   106
1171  12:48:45.2 -41:36:57   1   45.290     0   107    3216   106
1172  12:48:45.5 -41:30:19   1   45.290     0   107    3216   106
1173  12:48:47.3 -41:22:05   1   45.290     0   107    3216   106
1174  12:48:47.4 -41:23:20   1   45.290     0   107    3216   106
1175  12:48:47.4 -41:26:06   1   45.290     0   107    3216   106
1176  12:48:48.5 -41:20:53   1   45.290     0   107    3053     1
1177  12:48:49.2 -41:18:39   1   38.036    21     1    2958     1
1178  12:48:49.6 -41:23:01   1   45.290     0   107    3216   106
1179  12:48:52.3 -41:27:14   1   45.290     0   107    3216   106
1180  12:48:52.5 -41:32:25   1   45.300     1     1    3216   106
1181  12:48:53.9 -41:19:09   1   32.800     1     1    2317     1
1182  12:48:59.3 -41:30:19   1   45.290     0   107    3216   106
1183  12:48:59.5 -41:32:02   1   45.290     0   107    3216   106
1184  12:49:00.3 -41:18:48   1   45.290     0   107    3216   106
1185  12:49:01.4 -41:30:18   1   45.290     0   107    3216   106
1186  12:49:02.0 -41:15:33   1   52.500     1     1    2075     1
1187  12:49:02.2 -41:22:47   1   45.290     0   107    3216   106
1188  12:49:02.6 -41:37:05   1   45.290     0   107    3216   106
1189  12:49:05.1 -41:16:41   1   45.290     0   107    3216   106
1190  12:49:05.2 -41:18:25   1   45.290     0   107    3216   106
1191  12:49:06.5 -41:16:13   1   45.290     0   107    3216   106
1192  12:49:06.9 -41:18:48   1   45.290     0   107    3216   106
1193  12:49:07.1 -41:19:38   1   45.290     0   107    3216   106
1194  12:49:08.2 -41:21:14   1   45.290     0   107    3216   106
1195  12:49:08.2 -41:18:08   1   45.290     0   107    3216   106
1196  12:49:13.2 -41:17:54   1   45.290     0   107    3216   106
1197  12:49:15.0 -41:17:11   1   45.290     0   107    3216   106
1198  12:49:18.5 -41:20:09   1   50.100     1     1    3136     1
1199  12:49:20.9 -41:17:11   1   45.290     0   107    3216   106
1200  12:49:22.7 -41:15:19   1   45.290     0   107    3652     1
1201  12:49:24.6 -41:15:15   1   45.290     0   107    3216   106
1202  12:49:25.0 -41:18:26   1   45.290     0   107    3216   106
1203  12:49:32.0 -41:17:19   1   45.290     0   107    3216   106
1204  12:49:32.3 -41:20:24   1   45.290     0   107    3216   106
1205  12:49:33.0 -41:19:24   1   45.290     0   107    3216   106
1206  12:49:34.1 -41:22:36   1   45.290     0   107    3216   106
1207  12:49:35.9 -41:21:07   1   45.290     0   107    3216   106
1208  12:49:37.8 -41:23:17   1   40.775     4     1    3627     1
1209  12:49:38.1 -41:23:56   1   45.290     0   107    3216   106
