SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
  56   15.04    0.01       1   12.93    0.00       1   12.13    0.00       1   11.81    0.00       1   11.51    0.00       1
  57   16.09    0.01       1   14.24    0.00       1   13.46    0.00       1   13.10    0.00       1   12.80    0.00       1
  58   15.54    0.01       1   13.65    0.00       1   12.80    0.00       1   12.43    0.00       1   12.14    0.00       1
  59   17.80    3.05    1002   17.28    1.70    1002   17.49    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
  60   15.87    0.01       1   14.11    0.00       1   13.30    0.00       1   12.94    0.00       1   12.70    0.00       1
  61   14.66    0.00       1   12.91    0.00       1   12.16    0.00       1   11.76    0.00       1   11.51    0.00       1
  62   16.11    0.01       1   14.13    0.00       1   13.39    0.00       1   12.90    0.00       1   12.60    0.00       1
  63   10.46    0.43    1012    9.10    0.43    1012    9.10    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
  64   13.28    3.05    1002   12.31    1.70    1002   11.33    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
  65   16.41    0.01       1   14.76    0.00       1   14.00    0.00       1   13.63    0.00       1   13.29    0.00       1
  66   16.79    0.01       1   15.08    0.00       1   14.35    0.00       1   14.01    0.00       1   13.74    0.00       1
  67   14.21    0.00       1   12.36    0.00       1   11.58    0.00       1   11.20    0.00       1   10.94    0.00       1
  68   15.81    0.01       1   13.90    0.00       1   13.12    0.00       1   12.76    0.00       1   12.45    0.00       1
  69   16.43    0.01       1   14.59    0.00       1   13.83    0.00       1   13.43    0.00       1   13.17    0.00       1
  70   15.98    0.01       1   13.99    0.00       1   12.96    0.00       1   12.44    0.00       1   12.10    0.00       1
  71   16.48    0.01       1   14.68    0.00       1   13.90    0.00       1   13.54    0.00       1   13.22    0.00       1
  72   16.69    0.01       1   14.81    0.00       1   14.02    0.00       1   13.67    0.00       1   13.34    0.00       1
  73   17.90    0.03       1   16.27    0.00       1   15.57    0.00       1   15.25    0.00       1   14.98    0.01       1
  74   16.73    0.02       1   14.96    0.00       1   14.17    0.00       1   13.81    0.00       1   13.51    0.00       1
  75   16.54    0.01       1   14.66    0.00       1   13.86    0.00       1   13.51    0.00       1   13.18    0.00       1
  76   15.57    0.01       1   13.64    0.00       1   12.81    0.00       1   12.43    0.00       1   12.14    0.00       1
  77   17.25    0.03       1   15.31    0.00       1   14.57    0.00       1   14.27    0.00       1   14.04    0.01       1
  78   17.88    0.02       1   16.22    0.00       1   15.46    0.00       1   15.11    0.00       1   14.82    0.01       1
  79   16.69    0.01       1   15.24    0.00       1   14.48    0.00       1   14.11    0.00       1   13.74    0.00       1
  80   17.70    0.01       1   16.03    0.00       1   15.29    0.00       1   14.96    0.00       1   14.66    0.00       1
  81   16.61    0.02       1   14.91    0.00       1   14.13    0.00       1   13.77    0.00       1   13.43    0.00       1
  82   15.29    0.01       1   13.19    0.00       1   12.43    0.00       1   12.02    0.00       1   11.73    0.00       1
