SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
 834   12.29    0.43    1012   10.50    0.43    1012    4.98    0.43    1034    4.54    0.47    1004    4.02    0.53    1004
 835   11.73    0.43    1012    9.89    0.43    1012    9.01    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 836   24.65    1.17       1   22.29    0.15       1   22.47    0.24       1   22.34    0.30       1   22.24    0.73       1
 837   18.81    0.11       1   17.59    0.02       1   17.01    0.01       1   16.72    0.02       1   16.37    0.04       1
 838   14.19    0.00       1   12.36    0.00       1   11.62    0.00       1   11.23    0.00       1   10.96    0.00       1
 839   17.32    0.43    1012   15.94    0.43    1012   16.71    0.43    1034   16.57    0.47    1004   16.44    0.53    1004
 840   -9.99   -9.99       0   -9.99   -9.99       0   21.06    1.25    1034   20.90    1.40    1004   20.91    1.50    1004
 841   13.82    0.00       1   12.10    0.00       1   11.37    0.00       1   10.95    0.00       1   10.70    0.00       1
 842   15.86    0.01       1   14.26    0.00       1   13.62    0.00       1   13.25    0.00       1   12.99    0.00       1
 843   -9.99   -9.99       0   -9.99   -9.99       0   19.51    1.25    1034   19.20    1.40    1004   19.15    1.50    1004
 844   -9.99   -9.99       0   -9.99   -9.99       0   21.18    1.25    1034   20.98    1.40    1004   20.99    1.50    1004
 845   15.95    0.01       1   14.55    0.00       1   13.99    0.00       1   13.69    0.00       1   13.56    0.00       1
 846   20.51    0.46       1   18.69    0.03       1   18.14    0.03       1   17.84    0.04       1   17.54    0.11       1
 847   12.72    0.00       1   10.99    0.00       1   10.31    0.00       1    9.96    0.00       1    9.68    0.00       1
 848   23.07    0.69       1   22.52    0.21       1   21.89    0.17       1   21.77    0.21       1   22.30    0.88       1
 849   24.50    1.54       1   21.09    0.06       1   20.49    0.04       1   20.22    0.05       1   20.57    0.27       1
 850   25.64    0.97       1   21.59    0.10       1   20.83    0.07       1   20.73    0.09       1   20.92    0.36       1
 851   18.92    0.43    1002   17.85    0.43    1002   18.91    1.25    1034   18.84    1.40    1004   18.78    1.50    1004
 852   19.83    0.43    1002   18.85    1.70    1002   19.13    1.25    1034   18.82    1.40    1004   18.76    1.50    1004
 853   17.92    0.05       1   16.62    0.01       1   16.00    0.01       1   15.70    0.01       1   15.60    0.02       1
 854   21.32    0.83       1   18.69    0.03       1   18.14    0.03       1   17.94    0.03       1   17.79    0.10       1
 855   17.45    0.04       1   15.99    0.01       1   15.42    0.00       1   15.04    0.00       1   15.06    0.01       1
 856   18.78    0.05       1   17.80    0.01       1   17.43    0.01       1   17.26    0.02       1   17.17    0.04       1
 857   22.89    1.58       1   20.17    0.06       1   19.66    0.05       1   19.24    0.05       1   19.24    0.18       1
 858   18.34    0.08       1   16.75    0.01       1   16.14    0.01       1   15.80    0.01       1   15.62    0.02       1
 859   14.45    0.00       1   12.71    0.00       1   12.00    0.00       1   11.64    0.00       1   11.30    0.00       1
 860   22.88    0.12       1   17.73    0.01       1   17.67    0.01       1   17.64    0.02       1   16.72    0.04       1
 861   21.50    0.60       1   19.37    0.05       1   18.74    0.03       1   18.54    0.03       1   18.64    0.13       1
 862   23.98    1.14       1   23.40    0.39       1   22.83    0.28       1   21.48    0.15       1   22.99    0.81       1
 863   -9.99   -9.99       0   -9.99   -9.99       0   20.37    1.25    1034   20.36    1.40    1004   20.35    1.50    1004
 864   19.30    0.15       1   18.52    0.03       1   17.98    0.05       1   17.82    0.04       1   17.33    0.08       1
 865   17.62    0.04       1   16.18    0.01       1   15.52    0.01       1   15.19    0.01       1   15.09    0.02       1
 866   22.86    0.59       1   21.56    0.09       1   21.01    0.08       1   20.70    0.08       1   21.15    0.34       1
 867   18.73    0.08       1   17.54    0.01       1   17.05    0.01       1   16.86    0.01       1   16.73    0.04       1
 868   17.18    0.04       1   15.68    0.01       1   15.09    0.01       1   14.82    0.01       1   14.66    0.02       1
 869   17.36    0.03       1   15.64    0.00       1   15.04    0.01       1   14.74    0.01       1   14.65    0.02       1
 870   22.54    0.36       1   22.09    0.11       1   21.28    0.07       1   21.25    0.08       1   21.03    0.23       1
 871   20.45    0.09       1   18.96    0.01       1   18.32    0.01       1   18.03    0.01       1   17.89    0.03       1
 872   19.67    0.19       1   18.71    0.03       1   18.20    0.04       1   17.95    0.03       1   17.77    0.10       1
 873   25.11    2.65       1   20.83    0.09       1   20.93    0.14       1   20.13    0.10       1   20.71    0.68       1
 874   22.86    2.67       1   20.23    0.10       1   19.81    0.10       1   19.54    0.10       1   25.39    0.62       1
 875   11.54    0.43    1012    9.69    0.43    1012    8.86    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 876   17.70    0.43    1002   16.52    0.43    1002   14.02    0.43    1034   13.34    0.47    1004   13.10    0.53    1004
 877   21.36    0.53       1   20.26    0.08       1   19.93    0.09       1   19.77    0.12       1   18.83    0.18       1
 878   19.41    0.43    1002   18.39    0.43    1002   17.66    0.43    1034   17.39    0.47    1004   17.29    0.53    1004
 879   19.23    0.43    1002   18.19    0.43    1002   17.73    0.43    1034   17.39    0.47    1004   17.28    0.53    1004
 880   -9.99   -9.99       0   -9.99   -9.99       0   22.00    1.25    1034   21.22    1.40    1004   21.24    1.50    1004
 881   19.42    0.20       1   17.74    0.02       1   17.19    0.02       1   16.93    0.02       1   16.98    0.07       1
 882   20.35    3.05    1002   19.42    1.70    1002   18.20    0.43    1034   18.01    0.47    1004   17.93    0.53    1004
 883   19.80    0.43    1002   18.81    1.70    1002   19.06    1.25    1034   18.73    1.40    1004   18.67    1.50    1004
 884   -9.99   -9.99       0   -9.99   -9.99       0   20.64    1.25    1034   20.08    1.40    1004   20.06    1.50    1004
 885   -9.99   -9.99       0   -9.99   -9.99       0   20.53    1.25    1034   20.24    1.40    1004   20.23    1.50    1004
 886   17.18    0.02       1   15.34    0.00       1   14.60    0.00       1   14.25    0.00       1   13.92    0.00       1
 887   20.66    0.67       1   19.91    0.15       1   19.40    0.14       1   18.72    0.12       1   19.62    0.89       1
 888   15.88    0.01       1   14.30    0.00       1   13.66    0.00       1   13.36    0.00       1   13.23    0.00       1
 889   20.95    0.25       1   19.91    0.04       1   19.35    0.03       1   19.33    0.04       1   18.98    0.12       1
 890   17.41    0.03       1   15.97    0.00       1   15.37    0.00       1   15.08    0.00       1   14.95    0.01       1
 891   21.40    0.17       1   20.24    0.03       1   19.74    0.03       1   19.55    0.03       1   19.24    0.08       1
 892   22.93    1.47       1   20.99    0.11       1   20.62    0.11       1   19.87    0.07       1   21.22    0.96       1
 893   24.35    0.96       1   23.93    0.48       1   23.36    0.38       1   22.69    0.25       1   23.23    0.46       1
 894   -9.99   -9.99       0   -9.99   -9.99       0   21.77    1.25    1034   21.81    1.40    1004   21.85    1.50    1004
 895   24.42    6.88       1   20.01    0.09       1   20.68    0.27       1   19.04    0.08       1   20.06    0.88       1
 896   20.51    0.29       1   18.59    0.02       1   18.01    0.02       1   17.81    0.02       1   17.61    0.07       1
 897   16.19    0.02       1   14.79    0.00       1   14.21    0.00       1   13.92    0.00       1   13.70    0.00       1
 898   20.07    0.38       1   19.34    0.06       1   18.60    0.06       1   18.67    0.06       1   18.41    0.20       1
 899   15.83    0.01       1   14.26    0.00       1   13.71    0.00       1   13.43    0.00       1   13.31    0.00       1
 900   22.43    1.42       1   20.29    0.10       1   19.96    0.10       1   20.02    0.14       1   20.06    0.48       1
 901   13.58    0.00       1   11.74    0.00       1   11.02    0.00       1   10.59    0.00       1   10.40    0.00       1
 902   18.94    0.14       1   18.30    0.04       1   17.81    0.03       1   17.46    0.04       1   17.07    0.09       1
 903   27.23    1.63       1   20.22    0.16       1   22.23    1.77       1   23.02    4.71       1   20.43    1.30       1
 904   25.70    1.08       1   21.45    0.09       1   20.83    0.07       1   20.67    0.09       1   20.50    0.33       1
 905   12.67    3.05    1002   12.24    1.70    1002   12.28    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 906   17.07    0.03       1   15.44    0.00       1   14.85    0.00       1   14.58    0.00       1   14.47    0.01       1
 907   21.13    0.61       1   18.63    0.03       1   18.06    0.02       1   17.73    0.03       1   17.96    0.11       1
 908   -9.99   -9.99       0   -9.99   -9.99       0   21.32    1.25    1034   21.06    1.40    1004   21.07    1.50    1004
 909   19.67    0.16       1   18.46    0.03       1   18.00    0.04       1   17.88    0.03       1   17.64    0.07       1
 910   -9.99   -9.99       0   -9.99   -9.99       0   20.77    1.25    1034   20.47    1.40    1004   20.47    1.50    1004
 911   18.24    0.10       1   16.84    0.01       1   16.29    0.01       1   16.00    0.01       1   15.77    0.04       1
 912   19.37    0.10       1   17.96    0.01       1   17.36    0.01       1   17.08    0.01       1   16.93    0.03       1
 913   21.37    0.98       1   18.57    0.03       1   18.09    0.03       1   17.74    0.03       1   20.35    1.52       1
 914   19.41    0.43    1002   18.39    0.43    1002   17.80    0.43    1034   17.75    0.47    1004   17.65    0.53    1004
 915   -9.99   -9.99       0   -9.99   -9.99       0   19.90    1.25    1034   19.58    1.40    1004   19.55    1.50    1004
 916   14.18    0.00       1   12.45    0.00       1   11.77    0.00       1   11.41    0.00       1   11.08    0.00       1
 917   22.96    2.52       1   20.63    0.12       1   20.09    0.11       1   20.29    0.20       1   20.10    0.75       1
 918   25.13    1.27       1   22.01    0.15       1   21.44    0.13       1   21.44    0.18       1   21.47    0.59       1
 919   20.24    0.68       1   19.56    0.17       1   18.96    0.14       1   18.84    0.19       1   18.55    0.55       1
 920   16.65    0.03       1   14.75    0.00       1   14.08    0.00       1   13.79    0.00       1   13.65    0.01       1
 921   23.09    2.50       1   20.88    0.17       1   20.27    0.14       1   20.15    0.19       1   21.46    1.98       1
 922   -9.99   -9.99       0   -9.99   -9.99       0   20.27    1.25    1034   20.07    1.40    1004   20.05    1.50    1004
 923   20.93    0.21       1   19.77    0.03       1   18.98    0.02       1   18.60    0.02       1   18.44    0.08       1
 924   -9.99   -9.99       0   -9.99   -9.99       0   20.96    1.25    1034   20.83    1.40    1004   20.84    1.50    1004
 925   19.13    0.12       1   17.89    0.02       1   17.28    0.01       1   16.96    0.01       1   16.88    0.05       1
 926   18.94    0.13       1   17.98    0.03       1   17.39    0.02       1   17.12    0.02       1   17.05    0.09       1
 927   19.91    0.55       1   18.66    0.07       1   18.13    0.06       1   17.99    0.09       1   19.12    0.93       1
 928   23.88    6.31       1   23.79    3.41       1   20.46    0.16       1   22.05    1.41       1   20.46    1.19       1
 929   13.13    0.00       1   11.40    0.00       1   10.55    0.00       1   10.17    0.00       1    9.70    0.00       1
 930   20.12    0.62       1   19.03    0.11       1   18.42    0.09       1   17.87    0.08       1   18.19    0.41       1
 931   15.94    0.01       1   14.46    0.00       1   13.83    0.00       1   13.50    0.00       1   13.32    0.00       1
 932   -9.99   -9.99       0   -9.99   -9.99       0   18.98    1.25    1034   18.93    1.40    1004   18.88    1.50    1004
 933   20.21    0.34       1   19.35    0.07       1   18.56    0.05       1   18.56    0.07       1   18.24    0.21       1
 934   26.97    1.72       1   20.53    0.19       1   19.80    0.14       1   19.52    0.14       1   19.80    0.76       1
 935   19.15    0.28       1   17.70    0.03       1   17.17    0.03       1   16.92    0.03       1   16.72    0.09       1
 936   -9.99   -9.99       0   -9.99   -9.99       0   19.58    1.25    1034   19.23    1.40    1004   19.18    1.50    1004
 937   14.38    0.00       1   12.57    0.00       1   11.81    0.00       1   11.45    0.00       1   11.19    0.00       1
 938   21.29    0.76       1   19.70    0.07       1   19.23    0.07       1   19.02    0.07       1   18.60    0.18       1
 939   14.46    0.01       1   11.07    0.00       1   10.29    0.00       1   13.04    0.00       1    9.71    0.00       1
 940   15.20    0.01       1   13.59    0.00       1   12.97    0.00       1   12.63    0.00       1   12.37    0.00       1
 941   17.63    0.02       1   16.22    0.00       1   15.70    0.00       1   15.48    0.00       1   15.37    0.01       1
 942   20.43    3.05    1002   19.51    1.70    1002   19.63    1.25    1034   19.49    1.40    1004   19.45    1.50    1004
 943   24.96    1.66       1   22.09    0.15       1   21.57    0.13       1   21.71    0.21       1   20.98    0.49       1
 944   -9.99   -9.99       0   -9.99   -9.99       0   18.45    1.25    1034   18.22    1.40    1004   18.14    1.50    1004
 945   20.83    3.05    1002   19.94    1.70    1002   19.52    1.25    1034   19.16    1.40    1004   19.12    1.50    1004
 946   -9.99   -9.99       0   -9.99   -9.99       0   20.45    1.25    1034   20.25    1.40    1004   20.24    1.50    1004
 947   23.16    3.38       1   20.86    0.16       1   19.07    0.05       1   18.88    0.06       1   20.78    1.54       1
 948   20.99    0.29       1   20.39    0.10       1   19.74    0.05       1   19.69    0.07       1   19.27    0.19       1
 949   19.11    0.09       1   17.75    0.01       1   17.20    0.01       1   16.92    0.01       1   16.79    0.04       1
 950   15.77    0.01       1   14.36    0.00       1   14.82    0.00       1   13.54    0.00       1   13.37    0.00       1
 951   17.89    0.05       1   16.44    0.01       1   15.81    0.00       1   15.54    0.00       1   15.36    0.01       1
 952   13.07    0.00       1   11.12    0.00       1   10.31    0.00       1    9.91    0.00       1    9.56    0.00       1
 953   -9.99   -9.99       0   -9.99   -9.99       0   21.31    1.25    1034   21.14    1.40    1004   21.16    1.50    1004
 954   21.44    0.77       1   19.38    0.05       1   18.75    0.04       1   18.68    0.06       1   18.61    0.21       1
 955   19.64    0.28       1   18.39    0.04       1   17.90    0.03       1   17.69    0.03       1   17.58    0.13       1
 956   -9.99   -9.99       0   -9.99   -9.99       0   20.95    1.25    1034   20.55    1.40    1004   20.55    1.50    1004
 957   15.44    0.01       1   13.77    0.00       1   13.07    0.00       1   12.73    0.00       1   12.46    0.00       1
 958   20.78    0.41       1   19.56    0.06       1   18.92    0.05       1   18.85    0.06       1   18.48    0.13       1
 959   19.69    0.18       1   19.08    0.05       1   18.50    0.04       1   18.30    0.06       1   18.05    0.15       1
 960   16.42    0.03       1   14.74    0.00       1   14.13    0.00       1   13.87    0.00       1   13.71    0.01       1
 961   17.61    0.07       1   16.22    0.01       1   15.67    0.01       1   15.39    0.01       1   15.17    0.03       1
 962   15.41    0.01       1   13.67    0.00       1   12.97    0.00       1   12.61    0.00       1   12.43    0.00       1
 963   -9.99   -9.99       0   -9.99   -9.99       0   20.03    1.25    1034   19.45    1.40    1004   19.42    1.50    1004
 964   21.34    0.32       1   20.77    0.07       1   20.17    0.07       1   20.00    0.07       1   20.33    0.39       1
 965   17.45    0.04       1   16.10    0.01       1   15.52    0.01       1   15.24    0.01       1   15.15    0.02       1
 966   -9.99   -9.99       0   -9.99   -9.99       0   20.38    1.25    1034   20.28    1.40    1004   20.27    1.50    1004
 967   26.57    0.94       1   21.40    0.16       1   20.68    0.12       1   20.57    0.14       1   20.29    0.36       1
 968   19.30    0.28       1   18.82    0.08       1   18.27    0.07       1   17.98    0.08       1   18.02    0.33       1
 969   16.78    0.02       1   15.34    0.00       1   14.74    0.00       1   14.45    0.00       1   14.32    0.01       1
 970   25.85    0.73       1   23.92    0.50       1   23.03    0.33       1   20.47    0.05       1   19.54    0.08       1
 971   21.35    0.45       1   21.79    0.29       1   20.79    0.17       1   20.76    0.27       1   20.48    0.73       1
 972   24.02    1.48       1   22.31    0.16       1   22.41    0.24       1   23.40    0.87       1   22.02    0.86       1
 973   18.31    0.09       1   16.98    0.01       1   16.44    0.01       1   16.19    0.01       1   16.05    0.04       1
 974   -9.99   -9.99       0   -9.99   -9.99       0   20.72    1.25    1034   20.48    1.40    1004   20.48    1.50    1004
 975   19.56    0.05       1   17.70    0.01       1   16.99    0.00       1   16.64    0.00       1   16.41    0.01       1
 976   18.68    0.43    1002   17.58    0.43    1002   17.23    0.43    1034   16.87    0.47    1004   16.75    0.53    1004
 977   14.34    0.00       1   12.72    0.00       1   12.08    0.00       1   11.68    0.00       1   11.45    0.00       1
 978   21.64    1.27       1   20.25    0.13       1   19.57    0.11       1   19.23    0.12       1   19.78    0.88       1
 979   24.35    1.23       1   22.52    0.14       1   23.05    0.30       1   22.11    0.17       1   22.15    0.45       1
 980   25.34    1.08       1   23.88    0.51       1   23.46    0.49       1   21.85    0.18       1   23.04    0.95       1
 981   20.24    0.20       1   19.54    0.05       1   18.82    0.04       1   18.74    0.05       1   19.21    0.24       1
 982   23.82    1.14       1   22.94    0.27       1   22.54    0.25       1   22.75    0.45       1   22.53    0.81       1
 983   21.16    0.31       1   19.75    0.04       1   19.42    0.04       1   19.23    0.04       1   19.17    0.15       1
 984   20.44    0.48       1   18.81    0.04       1   18.36    0.04       1   17.78    0.03       1   18.29    0.22       1
 985   -9.99   -9.99       0   -9.99   -9.99       0   21.15    1.25    1034   20.85    1.40    1004   20.86    1.50    1004
 986   21.44    0.74       1   20.66    0.15       1   20.29    0.15       1   20.18    0.18       1   19.43    0.30       1
 987   22.97    2.17       1   20.19    0.08       1   19.79    0.08       1   19.57    0.10       1   19.28    0.26       1
 988   14.34    0.00       1   12.59    0.00       1   11.86    0.00       1   11.50    0.00       1   11.26    0.00       1
 989   17.52    0.02       1   15.61    0.00       1   14.87    0.00       1   14.48    0.00       1   14.21    0.01       1
 990   20.20    0.74       1   20.73    0.50       1   18.12    0.06       1   20.92    1.11       1   19.34    1.12       1
 991   23.49    5.93       1   20.64    0.22       1   19.76    0.14       1   19.68    0.19       1   18.65    0.26       1
 992   22.19    0.54       1   20.46    0.04       1   19.92    0.04       1   19.67    0.05       1   19.47    0.16       1
 993   26.76    1.33       1   20.89    0.14       1   20.76    0.19       1   20.45    0.22       1   19.56    0.41       1
 994   24.22    1.24       1   22.75    0.18       1   21.56    0.09       1   20.95    0.06       1   20.73    0.18       1
 995   12.97    0.43    1012   11.23    0.43    1012   10.41    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 996   21.38    0.51       1   20.03    0.06       1   19.57    0.06       1   19.52    0.08       1   20.53    0.86       1
 997   13.68    0.00       1   11.79    0.00       1   10.97    0.00       1   10.56    0.00       1   10.32    0.00       1
 998   23.23    1.81       1   21.36    0.15       1   20.41    0.09       1   20.78    0.17       1   20.36    0.37       1
 999   17.37    0.03       1   16.02    0.00       1   15.38    0.00       1   15.10    0.00       1   15.00    0.01       1
1000   -9.99   -9.99       0   -9.99   -9.99       0   20.99    1.25    1034   20.64    1.40    1004   20.64    1.50    1004
1001   24.01    1.06       1   23.56    0.39       1   22.15    0.16       1   22.33    0.26       1   21.47    0.43       1
1002   17.25    0.04       1   15.70    0.00       1   15.04    0.00       1   14.72    0.00       1   14.53    0.01       1
1003   14.78    0.00       1   12.97    0.00       1   12.24    0.00       1   11.82    0.00       1   11.61    0.00       1
1004   20.25    0.21       1   19.18    0.05       1   18.58    0.04       1   18.33    0.03       1   18.05    0.11       1
1005   16.20    0.01       1   14.72    0.00       1   14.13    0.00       1   13.81    0.00       1   13.69    0.00       1
1006   18.79    0.11       1   17.47    0.01       1   16.99    0.01       1   16.75    0.02       1   16.62    0.06       1
1007   18.83    0.06       1   17.97    0.01       1   17.73    0.02       1   17.68    0.04       1   17.83    0.15       1
1008   16.46    0.02       1   14.63    0.00       1   13.84    0.00       1   13.46    0.00       1   13.18    0.00       1
1009   24.13    2.71       1   20.99    0.09       1   20.62    0.09       1   20.55    0.11       1   20.82    0.57       1
1010   27.06    1.24       1   20.19    0.12       1   19.94    0.13       1   19.36    0.11       1   20.90    1.40       1
1011   17.74    0.04       1   15.92    0.00       1   15.04    0.00       1   14.66    0.00       1   14.38    0.00       1
1012   18.56    0.11       1   16.51    0.01       1   15.93    0.01       1   15.62    0.01       1   15.42    0.02       1
1013   -9.99   -9.99       0   -9.99   -9.99       0   21.17    1.25    1034   20.88    1.40    1004   20.89    1.50    1004
1014   19.62    0.29       1   18.52    0.05       1   17.94    0.04       1   17.68    0.04       1   18.19    0.21       1
1015   19.56    0.15       1   18.18    0.02       1   17.63    0.02       1   17.35    0.02       1   17.34    0.07       1
1016   -9.99   -9.99       0   -9.99   -9.99       0   21.42    1.25    1034   21.07    1.40    1004   21.09    1.50    1004
1017   27.49    0.41       1   21.89    0.21       1   22.40    0.51       1   23.56    1.90       1   22.12    1.99       1
1018   20.52    0.25       1   19.26    0.04       1   18.81    0.04       1   18.65    0.07       1   18.33    0.12       1
1019   12.39    0.00       1   10.35    0.00       1    9.50    0.00       1    9.05    0.00       1    8.83    0.00       1
1020   20.57    0.10       1   19.46    0.02       1   18.93    0.01       1   18.70    0.02       1   18.59    0.04       1
1021   -9.99   -9.99       0   -9.99   -9.99       0   19.45    1.25    1034   19.48    1.40    1004   19.44    1.50    1004
1022   12.81    0.00       1   11.05    0.00       1   10.15    0.00       1    9.73    0.00       1    9.60    0.00       1
1023   13.89    0.00       1   12.06    0.00       1   11.27    0.00       1   10.94    0.00       1   10.71    0.00       1
1024   21.16    1.40       1   21.62    0.59       1   20.22    0.26       1   20.06    0.20       1   19.39    0.78       1
1025   21.37    0.68       1   19.90    0.08       1   19.20    0.06       1   19.05    0.07       1   19.09    0.24       1
1026   14.09    0.00       1   12.57    0.00       1   11.88    0.00       1   11.55    0.00       1   11.31    0.00       1
1027   24.67    1.10       1   23.03    0.25       1   22.74    0.26       1   21.69    0.15       1   22.73    0.78       1
1028   25.30    2.39       1   22.45    0.31       1   21.06    0.14       1   21.01    0.20       1   21.10    0.89       1
1029   13.03    0.00       1   11.21    0.00       1   10.36    0.00       1    9.95    0.00       1    9.65    0.00       1
1030   22.80    0.64       1   21.79    0.09       1   21.32    0.09       1   21.15    0.11       1   20.78    0.32       1
1031   16.59    0.05       1   15.11    0.01       1   14.41    0.00       1   14.08    0.00       1   13.87    0.01       1
1032   18.38    0.09       1   17.03    0.01       1   16.46    0.01       1   16.28    0.01       1   16.13    0.04       1
1033   21.49    0.42       1   20.58    0.08       1   20.15    0.09       1   19.92    0.08       1   20.52    0.51       1
1034   -9.99   -9.99       0   -9.99   -9.99       0   19.98    1.25    1034   19.41    1.40    1004   19.37    1.50    1004
1035   15.96    0.01       1   14.41    0.00       1   13.75    0.00       1   13.40    0.00       1   13.25    0.00       1
1036   21.67    0.99       1   21.83    0.45       1   19.35    0.06       1   21.23    0.58       1   18.80    0.28       1
1037   24.73    0.93       1   24.10    0.49       1   23.63    0.42       1   22.03    0.16       1   22.71    0.65       1
1038   19.68    0.43    1002   18.68    0.43    1002   19.31    1.25    1034   18.94    1.40    1004   18.89    1.50    1004
1039   14.16    0.00       1   12.33    0.00       1   11.55    0.00       1   11.10    0.00       1   10.77    0.00       1
1040   22.44    2.44       1   22.51    1.05       1   19.67    0.10       1   22.92    3.22       1   21.73    4.56       1
1041   19.87    0.43    1002   18.89    1.70    1002   18.98    1.25    1034   18.47    1.40    1004   18.40    1.50    1004
1042   14.62    0.01       1   12.89    0.00       1   12.15    0.00       1   11.80    0.00       1   11.52    0.00       1
1043   20.81    0.35       1   20.15    0.09       1   19.77    0.09       1   19.53    0.12       1   18.77    0.20       1
1044   23.98    1.13       1   23.24    0.29       1   22.90    0.32       1   21.68    0.14       1   22.57    0.74       1
1045   20.70    0.27       1   20.00    0.07       1   19.54    0.06       1   19.34    0.08       1   19.47    0.31       1
1046   -9.99   -9.99       0   -9.99   -9.99       0   19.56    1.25    1034   19.14    1.40    1004   19.09    1.50    1004
1047   15.73    0.01       1   13.79    0.00       1   13.01    0.00       1   12.60    0.00       1   12.29    0.00       1
1048   -9.99   -9.99       0   -9.99   -9.99       0   20.48    1.25    1034   20.19    1.40    1004   20.18    1.50    1004
1049   25.10    7.65       1   20.10    0.13       1   20.79    0.37       1   19.00    0.10       1   24.15    2.61       1
1050   20.14    3.05    1002   19.18    1.70    1002   18.45    1.25    1034   18.08    0.47    1004   18.00    0.53    1004
1051   18.03    0.03       1   17.39    0.01       1   17.18    0.01       1   17.11    0.01       1   17.10    0.05       1
1052   -9.99   -9.99       0   -9.99   -9.99       0   21.03    1.25    1034   20.93    1.40    1004   20.94    1.50    1004
1053   14.83    0.01       1   13.33    0.00       1   12.71    0.00       1   12.42    0.00       1   12.18    0.00       1
1054   -9.99   -9.99       0   -9.99   -9.99       0   18.71    1.25    1034   18.31    1.40    1004   18.23    1.50    1004
1055   14.63    0.00       1   12.82    0.00       1   12.06    0.00       1   11.69    0.00       1   11.40    0.00       1
1056   16.84    0.02       1   15.40    0.00       1   14.77    0.00       1   14.47    0.00       1   14.27    0.01       1
1057   25.46    3.22       1   19.84    0.07       1   19.43    0.06       1   19.08    0.06       1   19.45    0.26       1
1058   17.31    0.43    1012   15.94    0.43    1012   17.08    0.43    1034   17.06    0.47    1004   16.95    0.53    1004
1059   21.26    0.63       1   20.91    0.21       1   19.75    0.11       1   20.05    0.21       1   19.91    0.70       1
1060   18.41    0.08       1   17.01    0.02       1   16.40    0.02       1   16.21    0.01       1   16.07    0.03       1
1061   19.18    0.10       1   18.07    0.02       1   17.54    0.01       1   17.34    0.02       1   17.22    0.05       1
1062   11.37    0.43    1012    9.50    0.43    1012    8.59    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1063   20.86    0.41       1   19.85    0.07       1   19.27    0.06       1   18.99    0.07       1   18.90    0.26       1
1064   14.54    0.01       1   12.78    0.00       1   12.12    0.00       1   11.77    0.00       1   11.53    0.00       1
1065   14.59    0.00       1   12.05    0.00       1   11.50    0.00       1   11.25    0.00       1   11.50    0.00       1
1066   -9.99   -9.99       0   -9.99   -9.99       0   20.73    1.25    1034   20.64    1.40    1004   20.64    1.50    1004
1067   16.57    0.02       1   15.00    0.00       1   14.31    0.00       1   14.00    0.00       1   13.79    0.01       1
1068   21.07    0.38       1   20.56    0.10       1   19.92    0.09       1   19.65    0.08       1   19.63    0.30       1
1069   17.56    0.03       1   16.28    0.00       1   15.74    0.00       1   15.47    0.00       1   15.40    0.01       1
1070   18.52    0.08       1   17.06    0.01       1   16.49    0.01       1   16.28    0.03       1   16.08    0.04       1
1071   20.53    0.49       1   20.23    0.15       1   18.35    0.04       1   19.59    0.19       1   20.02    1.24       1
1072   16.44    0.02       1   14.93    0.00       1   14.34    0.00       1   14.05    0.00       1   13.87    0.01       1
1073   12.23    0.43    1012   10.47    0.43    1012    9.76    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1074   17.29    0.03       1   15.96    0.00       1   15.33    0.00       1   15.06    0.00       1   14.92    0.01       1
1075   16.79    0.03       1   15.09    0.00       1   14.45    0.00       1   14.15    0.00       1   14.00    0.01       1
1076   18.20    0.07       1   16.72    0.01       1   16.16    0.01       1   15.89    0.01       1   15.75    0.03       1
