Standard-system magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (5) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent U-band magnitude, m_U, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_U.
Column 4: The sources for the quoted values for m_U and their uncertainties.
Column 5: The apparent B-band magnitude, m_B, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_B.
Column 7: The sources for the quoted values for m_B and their uncertainties. 
Column 8: The apparent V-band magnitude, m_V, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_V.
Column 10: The sources for the quoted values for m_V and their uncertainties.
Column 11: The apparent I-band magnitude, m_I, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_I.
Column 13: The sources for the quoted values for m_I and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   m_U      dm_U       s.  m_B      dm_B       s.  m_V      dm_V       s.  m_I      dm_I      s. 
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 160   14.48   -9.99       1   14.21   -9.99       1   13.52   -9.99       1   -9.99   -9.99       0
 161   -9.99   -9.99       0   14.98   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 162   -9.99   -9.99       0   14.96   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 163   -9.99   -9.99       0   15.29   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 164   -9.99   -9.99       0   14.66   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 165   -9.99   -9.99       0   14.64   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 166   -9.99   -9.99       0   15.34   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 167   -9.99   -9.99       0   14.57   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 168   -9.99   -9.99       0   14.07   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 169   -9.99   -9.99       0   15.43   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 170   -9.99   -9.99       0   14.80   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 171   13.87   -9.99       1   13.39   -9.99       1   12.42   -9.99       1   -9.99   -9.99       0
 172   -9.99   -9.99       0   15.04   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 173   14.27    0.50    1012   13.90   -9.99       1   13.03    0.47    1023   12.15    0.45    1045
 174   13.77   -9.99       1   13.26   -9.99       1   12.36   -9.99       1   -9.99   -9.99       0
 175   12.80   -9.99       1   12.22   -9.99       1   11.27   -9.99       1   10.85    0.45    1045
 176   -9.99   -9.99       0   11.25   -9.99       1   10.38   -9.99       1   -9.99   -9.99       0
 177   -9.99   -9.99       0   16.00   -9.99       4   15.20    0.70       4   -9.99   -9.99       0
 178   11.53   -9.99       1   11.02   -9.99       1   10.12   -9.99       1    9.60    0.45    1045
 179   -9.99   -9.99       0   16.79   -9.99       4   15.10    0.40       4   -9.99   -9.99       0
